,electricity-lbmp-nyiso-capitl,electricity-lbmp-nyiso-north,electricity-lbmp-nyiso-h_q,electricity-lbmp-nyiso-dunwod,electricity-lbmp-nyiso-mhk_valley,electricity-lbmp-nyiso-genese,electricity-lbmp-nyiso-nyc,electricity-lbmp-nyiso-centrl,electricity-lbmp-nyiso-pjm,electricity-lbmp-nyiso-npx,electricity-lbmp-nyiso-hud_valley,electricity-lbmp-nyiso-o_h,electricity-lbmp-nyiso-longil,electricity-lbmp-nyiso-west,electricity-lbmp-nyiso-millwd
605,82.15,77.37,78.12,81.03,75.74,62.75,81.26,67.41,71.39,89.73,80.22,59.05,200.21,61.22,80.88
606,80.93,76.35,76.99,79.83,74.71,62.08,80.09,66.55,70.37,99.18,79.04,58.49,130.84,60.63,79.69
607,77.45,72.9,73.61,76.42,71.53,59.89,76.69,63.9,67.63,95.68,75.59,56.6,144.57,58.55,76.27
608,80.93,76.28,77.07,79.83,74.68,62.14,80.04,66.6,70.53,99.1,78.97,58.65,144.6,60.7,79.69
609,81.01,76.19,77.07,79.91,74.84,62.27,80.04,66.82,70.74,100.04,79.04,58.78,144.52,60.91,79.76
610,80.41,75.61,76.47,79.32,74.21,61.94,79.53,66.29,70.24,99.45,78.46,58.47,140.21,60.58,79.17
611,81.1,76.29,77.17,79.84,74.92,62.39,80.04,66.96,70.81,100.06,79.05,58.89,148.76,61.11,79.69
612,81.18,76.44,77.24,79.92,74.99,62.52,80.04,67.02,70.96,103.55,79.04,59.18,148.76,61.4,79.77
613,84.28,79.54,80.32,82.96,77.72,64.69,83.02,69.37,73.47,106.59,82.05,61.16,148.81,63.47,82.8
614,84.28,79.53,80.31,82.88,77.81,64.78,82.93,69.38,73.47,106.59,82.05,61.33,144.63,63.56,82.73
615,82.41,77.79,78.54,81.2,76.09,63.4,81.3,67.93,71.9,102.68,80.31,59.85,154.6,62.02,81.05
616,81.44,76.62,77.5,80.26,75.14,62.62,80.37,67.14,71.02,101.74,79.38,59.11,131.96,61.25,80.11
617,80.93,75.8,76.75,79.83,74.61,62.56,80.04,66.86,70.85,101.31,78.96,59.22,115.57,61.43,79.68
618,77.37,72.22,73.08,76.42,71.32,60.19,76.69,64.33,68.04,95.62,75.59,57.15,115.59,59.31,76.27
619,77.87,71.06,71.82,76.41,70.27,59.26,76.68,63.46,67.64,95.84,75.57,56.17,144.49,58.39,76.28
620,79.47,74.62,75.38,78.47,73.21,61.48,78.7,65.94,69.63,97.66,77.62,58.22,144.66,60.45,78.32
621,79.46,74.53,75.28,78.39,73.29,61.67,78.7,65.96,69.64,97.21,77.54,58.55,144.66,60.72,78.25
622,80.93,76.11,76.9,79.83,74.7,62.72,80.03,67.22,70.93,98.65,78.97,59.55,144.6,61.84,79.69
623,77.3,72.67,73.31,76.35,71.4,60.01,76.69,64.2,67.73,95.16,75.51,56.66,144.57,58.76,76.2
624,77.43,72.95,73.44,76.32,71.6,60.32,76.67,64.38,67.84,95.59,75.49,57.19,144.5,59.3,76.18
625,77.28,72.73,73.29,76.33,71.46,59.99,76.67,64.11,67.63,95.51,75.49,56.8,144.42,58.82,76.18
626,77.27,72.72,73.28,76.24,71.45,59.98,76.48,64.18,67.63,95.43,75.41,56.72,115.53,58.74,76.09
627,77.27,72.64,73.28,76.32,71.37,59.91,76.56,64.25,67.63,96.37,75.41,56.49,115.44,58.58,76.09
628,77.47,72.05,72.67,76.23,70.91,59.55,76.55,63.79,67.44,96.38,75.4,56.18,115.51,58.19,76.1
629,77.38,72.46,73.25,76.2,71.18,59.86,76.44,64.21,67.59,96.33,75.37,56.45,78.37,58.54,76.05
630,77.55,72.79,73.59,76.27,71.38,59.86,76.45,64.33,67.6,92.14,75.44,56.36,78.31,58.47,76.13
631,77.53,72.75,73.55,76.27,71.58,60.21,76.57,64.85,67.91,92.13,75.43,57.02,78.52,59.12,76.13
632,77.38,72.52,73.4,76.27,71.52,59.96,76.55,64.59,67.79,92.06,75.44,56.7,78.67,58.87,76.13
633,77.34,72.59,73.39,76.3,71.47,59.7,76.5,64.35,67.57,94.66,75.47,56.21,78.62,58.24,76.08
