,emojitracker-twitter-kissing_face_with_closed_eyes,emojitracker-twitter-kissing_face_with_smiling_eyes
954,16.0,7.0
955,10.0,4.0
956,8.0,9.0
957,14.0,6.0
958,16.0,5.0
959,14.0,4.0
960,24.0,6.0
961,8.0,9.0
962,14.0,6.0
963,8.0,15.0
964,12.0,7.0
965,16.0,8.0
966,12.0,12.0
967,14.0,6.0
968,17.0,14.0
969,15.0,11.0
970,14.0,11.0
971,8.0,5.0
972,12.0,14.0
973,27.0,12.0
974,23.0,6.0
975,21.0,6.0
976,16.0,2.0
977,13.0,4.0
978,12.0,14.0
979,14.0,5.0
980,19.0,6.0
981,23.0,10.0
982,23.0,9.0
983,26.0,12.0
984,23.0,12.0
985,21.0,11.0
986,25.0,9.0
987,30.0,2.0
988,23.0,8.0
989,18.0,11.0
990,24.0,10.0
991,29.0,8.0
992,18.0,2.0
993,20.0,14.0
994,19.0,9.0
995,15.0,6.0
996,16.0,3.0
997,20.0,9.0
998,21.0,7.0
999,15.0,9.0
