,electricity-fueltype-nyiso-hydro,electricity-fueltype-nyiso-dual_fuel,electricity-fueltype-nyiso-natural_gas,electricity-fueltype-nyiso-nuclear,electricity-fueltype-nyiso-wind,electricity-fueltype-nyiso-other_renewables,electricity-fueltype-nyiso-other_fossil_fuels
938,3293.0,5699.0,5109.0,2702.0,3.0,242.0,3.0
939,3297.0,5651.0,5109.0,2704.0,3.0,239.0,3.0
940,3332.0,5613.0,5113.0,2696.0,3.0,241.0,3.0
941,3441.0,5606.0,5124.0,2703.0,3.0,244.0,3.0
942,3570.0,5633.0,5121.0,2698.0,3.0,239.0,3.0
943,3597.0,5636.0,5128.0,2704.0,3.0,240.0,3.0
944,3577.0,5641.0,5148.0,2702.0,3.0,240.0,3.0
945,3595.0,5706.0,5152.0,2704.0,2.0,234.0,3.0
946,3497.0,5754.0,5158.0,2699.0,2.0,235.0,3.0
947,3427.0,5737.0,5136.0,2703.0,1.0,239.0,3.0
948,3423.0,5603.0,5110.0,2701.0,2.0,237.0,3.0
949,3451.0,5571.0,5107.0,2704.0,3.0,239.0,3.0
950,3419.0,5582.0,5103.0,2699.0,2.0,234.0,3.0
951,3432.0,5572.0,5105.0,2704.0,3.0,233.0,3.0
952,3449.0,5546.0,5116.0,2699.0,5.0,232.0,3.0
953,3484.0,5534.0,5141.0,2704.0,7.0,233.0,3.0
954,3495.0,5583.0,5127.0,2698.0,7.0,238.0,3.0
955,3496.0,5551.0,5090.0,2706.0,9.0,236.0,3.0
956,3537.0,5531.0,5038.0,2698.0,10.0,233.0,3.0
957,3700.0,5521.0,5009.0,2703.0,13.0,230.0,3.0
958,3751.0,5469.0,5006.0,2699.0,15.0,231.0,3.0
959,3817.0,5377.0,5012.0,2705.0,16.0,230.0,3.0
960,3859.0,5381.0,5016.0,2700.0,17.0,230.0,3.0
961,3850.0,5403.0,5029.0,2703.0,18.0,230.0,3.0
962,3824.0,5420.0,5058.0,2698.0,20.0,228.0,3.0
963,3832.0,5490.0,5089.0,2702.0,21.0,228.0,3.0
964,3781.0,5511.0,5116.0,2694.0,23.0,226.0,3.0
965,3809.0,5485.0,5135.0,2702.0,24.0,226.0,3.0
966,3767.0,5489.0,5148.0,2697.0,27.0,227.0,3.0
967,3753.0,5500.0,5157.0,2702.0,29.0,225.0,3.0
968,3720.0,5484.0,5150.0,2697.0,30.0,223.0,3.0
969,3717.0,5435.0,5123.0,2703.0,34.0,223.0,3.0
970,3714.0,5373.0,5130.0,2702.0,36.0,223.0,3.0
971,3725.0,5352.0,5158.0,2706.0,38.0,223.0,3.0
972,3717.0,5341.0,5174.0,2699.0,38.0,223.0,3.0
973,3699.0,5312.0,5153.0,2705.0,41.0,222.0,3.0
974,3725.0,5261.0,5108.0,2701.0,44.0,221.0,3.0
975,3725.0,5261.0,5108.0,2701.0,44.0,221.0,3.0
976,3620.0,5201.0,5085.0,2698.0,52.0,225.0,3.0
977,3510.0,5172.0,4753.0,2705.0,54.0,224.0,3.0
978,3442.0,5095.0,4689.0,2698.0,56.0,222.0,3.0
979,3466.0,5065.0,4706.0,2704.0,58.0,219.0,3.0
980,3440.0,5024.0,4707.0,2700.0,60.0,224.0,3.0
981,3471.0,5010.0,4686.0,2707.0,59.0,224.0,3.0
982,3422.0,4977.0,4664.0,2703.0,60.0,228.0,3.0
983,3424.0,4930.0,4603.0,2706.0,67.0,229.0,3.0
