,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_lower_level,traffic-nj511-minutes-i-87_from_west_230th_street_to_i-80_via_the_upper_level,traffic-nj511-minutes-i-87_from_west_230th_street_to_i-80_via_the_lower_level,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_upper_level,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_lower_level,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_upper_level
209,14.0,20.0,13.0,15.0,11.0,21.0
210,14.0,20.0,13.0,15.0,11.0,21.0
211,14.0,21.0,13.0,16.0,11.0,22.0
212,14.0,20.0,13.0,15.0,11.0,21.0
213,14.0,18.0,13.0,14.0,11.0,19.0
214,14.0,19.0,13.0,14.0,11.0,20.0
215,14.0,20.0,13.0,14.0,11.0,21.0
216,19.0,20.0,17.0,15.0,15.0,21.0
217,14.0,20.0,13.0,16.0,11.0,21.0
218,14.0,19.0,13.0,15.0,11.0,20.0
219,14.0,19.0,13.0,15.0,11.0,20.0
220,15.0,19.0,14.0,15.0,11.0,20.0
221,15.0,19.0,14.0,15.0,11.0,20.0
222,15.0,20.0,14.0,16.0,11.0,21.0
223,14.0,20.0,14.0,16.0,11.0,21.0
224,14.0,20.0,14.0,16.0,11.0,21.0
225,15.0,20.0,13.0,16.0,11.0,21.0
226,14.0,19.0,13.0,15.0,11.0,20.0
227,14.0,19.0,13.0,15.0,11.0,20.0
228,14.0,18.0,13.0,15.0,11.0,19.0
229,13.0,18.0,12.0,14.0,11.0,19.0
230,13.0,17.0,12.0,14.0,11.0,18.0
231,13.0,17.0,12.0,13.0,11.0,18.0
232,13.0,17.0,12.0,14.0,11.0,17.0
233,13.0,16.0,12.0,14.0,11.0,17.0
234,13.0,16.0,12.0,14.0,11.0,17.0
235,13.0,16.0,12.0,14.0,11.0,17.0
236,13.0,16.0,12.0,14.0,11.0,16.0
237,13.0,16.0,12.0,14.0,11.0,17.0
238,13.0,15.0,12.0,14.0,11.0,16.0
239,13.0,15.0,12.0,13.0,11.0,16.0
240,12.0,15.0,12.0,13.0,11.0,15.0
241,12.0,14.0,11.0,13.0,11.0,15.0
242,12.0,14.0,11.0,13.0,11.0,15.0
243,12.0,14.0,11.0,14.0,11.0,15.0
244,12.0,14.0,11.0,14.0,11.0,15.0
245,12.0,14.0,11.0,14.0,11.0,15.0
246,12.0,15.0,11.0,14.0,11.0,16.0
247,12.0,15.0,12.0,14.0,11.0,16.0
248,13.0,15.0,12.0,14.0,11.0,16.0
249,12.0,15.0,12.0,13.0,11.0,16.0
250,13.0,15.0,12.0,13.0,11.0,16.0
251,13.0,15.0,12.0,13.0,11.0,16.0
252,13.0,16.0,12.0,14.0,11.0,17.0
253,13.0,16.0,12.0,14.0,11.0,17.0
254,13.0,16.0,12.0,14.0,11.0,17.0
255,13.0,16.0,12.0,14.0,11.0,17.0
256,14.0,16.0,13.0,13.0,11.0,17.0
257,14.0,17.0,13.0,13.0,11.0,18.0
258,15.0,26.0,14.0,22.0,12.0,27.0
259,15.0,25.0,14.0,23.0,13.0,26.0
260,15.0,20.0,14.0,17.0,12.0,21.0
261,14.0,16.0,14.0,13.0,11.0,17.0
262,14.0,15.0,13.0,12.0,11.0,16.0
263,14.0,15.0,13.0,11.0,11.0,15.0
264,14.0,14.0,13.0,11.0,11.0,14.0
265,13.0,13.0,12.0,11.0,11.0,14.0
266,13.0,13.0,12.0,11.0,11.0,14.0
267,13.0,13.0,12.0,11.0,11.0,14.0
268,13.0,13.0,13.0,11.0,11.0,14.0
269,14.0,13.0,13.0,11.0,11.0,14.0
270,15.0,13.0,14.0,11.0,12.0,14.0
271,14.0,14.0,14.0,11.0,11.0,14.0
272,13.0,13.0,13.0,11.0,11.0,14.0
273,13.0,13.0,12.0,12.0,11.0,14.0
274,12.0,13.0,12.0,12.0,11.0,13.0
275,12.0,12.0,12.0,13.0,12.0,13.0
276,12.0,11.0,11.0,12.0,12.0,12.0
277,12.0,11.0,11.0,12.0,12.0,12.0
278,13.0,11.0,11.0,11.0,12.0,12.0
279,12.0,11.0,11.0,11.0,12.0,12.0
280,12.0,11.0,11.0,11.0,11.0,12.0
281,12.0,11.0,11.0,11.0,11.0,12.0
282,12.0,11.0,11.0,11.0,11.0,12.0
283,12.0,11.0,11.0,11.0,12.0,12.0
284,12.0,11.0,11.0,11.0,12.0,12.0
285,12.0,11.0,11.0,11.0,12.0,12.0
286,12.0,11.0,11.0,12.0,12.0,12.0
287,12.0,11.0,11.0,11.0,11.0,12.0
288,12.0,11.0,11.0,11.0,11.0,12.0
289,12.0,11.0,11.0,11.0,11.0,12.0
290,12.0,11.0,11.0,11.0,11.0,12.0
291,12.0,11.0,11.0,11.0,11.0,12.0
292,12.0,11.0,11.0,11.0,11.0,12.0
293,12.0,11.0,11.0,11.0,11.0,12.0
294,13.0,12.0,12.0,11.0,12.0,12.0
295,13.0,12.0,13.0,11.0,12.0,12.0
296,13.0,12.0,13.0,11.0,12.0,12.0
297,13.0,12.0,12.0,11.0,11.0,13.0
298,12.0,12.0,12.0,11.0,11.0,12.0
299,12.0,12.0,12.0,12.0,11.0,12.0
300,13.0,12.0,12.0,12.0,12.0,13.0
301,13.0,12.0,12.0,12.0,12.0,13.0
302,14.0,12.0,13.0,12.0,13.0,13.0
303,13.0,12.0,12.0,12.0,12.0,13.0
304,13.0,11.0,12.0,12.0,12.0,13.0
305,13.0,11.0,12.0,12.0,13.0,13.0
306,13.0,12.0,12.0,12.0,12.0,13.0
307,13.0,12.0,12.0,12.0,12.0,13.0
308,13.0,12.0,12.0,13.0,13.0,14.0
309,14.0,12.0,12.0,13.0,13.0,14.0
310,15.0,13.0,12.0,14.0,13.0,16.0
311,15.0,13.0,13.0,14.0,13.0,16.0
312,15.0,15.0,13.0,15.0,13.0,16.0
313,15.0,15.0,13.0,15.0,13.0,16.0
314,15.0,15.0,14.0,14.0,13.0,16.0
315,15.0,15.0,14.0,14.0,13.0,16.0
316,15.0,15.0,14.0,15.0,13.0,16.0
317,14.0,15.0,14.0,15.0,13.0,15.0
318,14.0,15.0,14.0,15.0,14.0,15.0
319,14.0,15.0,15.0,15.0,14.0,15.0
320,14.0,15.0,15.0,15.0,14.0,15.0
321,15.0,15.0,15.0,15.0,14.0,15.0
322,15.0,16.0,15.0,15.0,14.0,15.0
323,15.0,16.0,15.0,15.0,14.0,16.0
324,16.0,15.0,15.0,14.0,13.0,16.0
325,16.0,15.0,15.0,14.0,14.0,16.0
326,17.0,16.0,15.0,14.0,14.0,17.0
327,17.0,16.0,15.0,14.0,13.0,17.0
328,17.0,16.0,15.0,14.0,14.0,17.0
329,17.0,15.0,15.0,14.0,14.0,17.0
330,16.0,16.0,15.0,15.0,14.0,17.0
331,17.0,16.0,15.0,15.0,15.0,17.0
332,16.0,16.0,15.0,16.0,15.0,17.0
333,16.0,16.0,14.0,16.0,15.0,17.0
334,17.0,15.0,14.0,16.0,15.0,17.0
335,17.0,14.0,14.0,16.0,15.0,17.0
336,16.0,14.0,13.0,16.0,15.0,17.0
337,16.0,14.0,13.0,16.0,15.0,17.0
338,16.0,14.0,13.0,16.0,15.0,17.0
339,16.0,14.0,13.0,16.0,15.0,17.0
340,16.0,14.0,13.0,15.0,14.0,17.0
341,16.0,14.0,13.0,15.0,14.0,17.0
342,15.0,14.0,14.0,14.0,14.0,16.0
343,15.0,14.0,13.0,15.0,14.0,15.0
344,15.0,14.0,13.0,14.0,14.0,15.0
345,15.0,14.0,13.0,14.0,14.0,15.0
346,14.0,14.0,14.0,14.0,14.0,15.0
347,14.0,14.0,14.0,15.0,14.0,15.0
348,14.0,14.0,14.0,15.0,14.0,15.0
349,14.0,14.0,14.0,15.0,14.0,15.0
350,14.0,14.0,13.0,15.0,14.0,15.0
351,14.0,14.0,13.0,15.0,14.0,15.0
352,15.0,14.0,14.0,15.0,14.0,15.0
353,15.0,14.0,13.0,15.0,14.0,15.0
354,16.0,14.0,14.0,14.0,14.0,16.0
355,16.0,14.0,14.0,14.0,14.0,16.0
356,16.0,14.0,13.0,14.0,14.0,17.0
357,16.0,14.0,13.0,14.0,13.0,17.0
358,16.0,14.0,13.0,15.0,14.0,17.0
359,16.0,14.0,13.0,15.0,14.0,17.0
360,16.0,14.0,13.0,15.0,14.0,16.0
361,16.0,13.0,13.0,15.0,14.0,17.0
362,16.0,14.0,14.0,15.0,14.0,16.0
363,15.0,15.0,14.0,15.0,14.0,16.0
364,16.0,15.0,15.0,16.0,15.0,17.0
