,electricity-fueltype-nyiso-other_fossil_fuels,electricity-fueltype-nyiso-natural_gas,electricity-fueltype-nyiso-nuclear,electricity-fueltype-nyiso-wind,electricity-fueltype-nyiso-hydro,electricity-fueltype-nyiso-other_renewables,electricity-fueltype-nyiso-dual_fuel
326,12.0,4952.0,3242.0,200.0,3500.0,253.0,5153.0
327,12.0,4957.0,3241.0,200.0,3497.0,249.0,5204.0
328,12.0,4991.0,3242.0,202.0,3495.0,248.0,5207.0
329,12.0,4961.0,3241.0,202.0,3497.0,249.0,5232.0
330,12.0,4960.0,3243.0,205.0,3496.0,247.0,5240.0
331,12.0,4952.0,3242.0,197.0,3498.0,245.0,5268.0
332,12.0,4932.0,3241.0,185.0,3497.0,250.0,5304.0
333,12.0,4934.0,3241.0,182.0,3543.0,247.0,5314.0
334,15.0,4957.0,3244.0,180.0,3522.0,253.0,5293.0
335,15.0,4942.0,3242.0,177.0,3401.0,256.0,5251.0
336,7.0,4897.0,3242.0,174.0,3317.0,250.0,5202.0
337,7.0,4897.0,3242.0,174.0,3317.0,250.0,5202.0
338,7.0,4897.0,3242.0,174.0,3317.0,250.0,5202.0
339,7.0,4897.0,3242.0,174.0,3317.0,250.0,5202.0
340,3.0,4888.0,3241.0,181.0,3403.0,250.0,5179.0
341,3.0,4890.0,3240.0,173.0,3375.0,250.0,5179.0
342,3.0,4886.0,3239.0,177.0,3398.0,247.0,5181.0
343,3.0,4887.0,3240.0,177.0,3406.0,246.0,5176.0
344,3.0,4887.0,3242.0,195.0,3357.0,245.0,5141.0
345,3.0,4884.0,3241.0,196.0,3363.0,240.0,5131.0
346,3.0,4883.0,3241.0,204.0,3385.0,244.0,5114.0
347,3.0,4870.0,3238.0,214.0,3353.0,250.0,5135.0
348,3.0,4881.0,3242.0,223.0,3377.0,253.0,5169.0
349,3.0,4896.0,3241.0,223.0,3386.0,253.0,5189.0
350,3.0,4912.0,3240.0,229.0,3413.0,253.0,5211.0
351,3.0,4919.0,3241.0,238.0,3388.0,251.0,5231.0
352,3.0,4926.0,3239.0,239.0,3411.0,249.0,5214.0
353,3.0,4933.0,3239.0,238.0,3408.0,250.0,5224.0
354,3.0,4934.0,3236.0,229.0,3419.0,253.0,5251.0
355,3.0,4932.0,3241.0,220.0,3428.0,251.0,5247.0
356,3.0,4943.0,3238.0,219.0,3416.0,249.0,5255.0
357,3.0,4960.0,3234.0,217.0,3395.0,251.0,5294.0
358,3.0,4970.0,3240.0,210.0,3409.0,258.0,5270.0
359,3.0,4979.0,3238.0,202.0,3376.0,254.0,5153.0
360,3.0,5006.0,3241.0,215.0,3384.0,256.0,5084.0
