,hospital-er-wait-minutes-piedmont_henry,hospital-er-wait-minutes-piedmont_athens,hospital-er-wait-minutes-piedmont_mountainside,hospital-er-wait-minutes-piedmont_newton,hospital-er-wait-minutes-piedmont_atlanta,hospital-er-wait-minutes-piedmont_fayette,hospital-er-wait-minutes-piedmont_mountside_ellijay,hospital-er-wait-minutes-piedmont_walton,hospital-er-wait-minutes-piedmont_rockdale,hospital-er-wait-minutes-piedmont_newnan
256,125.0,0.0,13.0,11.0,7.0,228.0,61.0,0.0,13.0,9.0
257,125.0,8.0,0.0,9.0,16.0,182.0,81.0,0.0,19.0,7.0
258,122.0,8.0,0.0,9.0,16.0,182.0,81.0,0.0,19.0,7.0
259,122.0,15.0,0.0,8.0,16.0,183.0,101.0,0.0,27.0,3.0
260,120.0,15.0,0.0,8.0,16.0,183.0,101.0,0.0,27.0,3.0
261,120.0,20.0,0.0,8.0,10.0,194.0,0.0,1.0,30.0,24.0
262,106.0,20.0,0.0,8.0,10.0,194.0,0.0,1.0,30.0,24.0
263,106.0,28.0,0.0,34.0,20.0,157.0,0.0,1.0,15.0,31.0
264,44.0,28.0,0.0,34.0,20.0,157.0,0.0,1.0,15.0,31.0
265,44.0,28.0,0.0,34.0,21.0,122.0,12.0,0.0,37.0,32.0
266,49.0,28.0,0.0,34.0,21.0,122.0,12.0,0.0,37.0,32.0
267,49.0,19.0,20.0,5.0,14.0,190.0,14.0,0.0,40.0,8.0
268,79.0,19.0,20.0,5.0,14.0,190.0,14.0,0.0,40.0,8.0
269,79.0,12.0,29.0,13.0,12.0,167.0,459.0,4.0,48.0,7.0
270,67.0,12.0,29.0,13.0,12.0,167.0,459.0,4.0,48.0,7.0
271,67.0,13.0,29.0,20.0,17.0,118.0,459.0,3.0,43.0,6.0
272,74.0,13.0,29.0,20.0,17.0,118.0,459.0,3.0,43.0,6.0
273,74.0,9.0,6.0,20.0,0.0,59.0,0.0,10.0,7.0,0.0
274,64.0,9.0,6.0,20.0,0.0,59.0,0.0,10.0,7.0,0.0
275,64.0,8.0,20.0,21.0,1.0,70.0,0.0,13.0,9.0,0.0
276,50.0,8.0,20.0,21.0,1.0,70.0,0.0,13.0,9.0,0.0
277,50.0,10.0,23.0,30.0,5.0,85.0,0.0,12.0,14.0,1.0
278,20.0,10.0,23.0,30.0,5.0,85.0,0.0,12.0,14.0,1.0
279,20.0,10.0,31.0,33.0,9.0,74.0,9.0,8.0,21.0,1.0
280,25.0,10.0,31.0,33.0,9.0,74.0,9.0,8.0,21.0,1.0
281,25.0,8.0,43.0,29.0,11.0,52.0,29.0,4.0,26.0,1.0
282,22.0,8.0,43.0,29.0,11.0,52.0,29.0,4.0,26.0,1.0
283,22.0,8.0,45.0,45.0,14.0,54.0,28.0,4.0,13.0,1.0
284,16.0,8.0,45.0,45.0,14.0,54.0,28.0,4.0,13.0,1.0
285,16.0,15.0,37.0,50.0,8.0,52.0,30.0,1.0,12.0,2.0
286,16.0,15.0,37.0,50.0,8.0,52.0,30.0,1.0,12.0,2.0
287,16.0,29.0,17.0,45.0,5.0,57.0,37.0,3.0,14.0,2.0
288,24.0,29.0,17.0,45.0,5.0,57.0,37.0,3.0,14.0,2.0
289,24.0,28.0,25.0,40.0,9.0,62.0,42.0,4.0,18.0,2.0
290,28.0,28.0,25.0,40.0,9.0,62.0,42.0,4.0,18.0,2.0
291,28.0,30.0,31.0,48.0,9.0,51.0,89.0,5.0,33.0,5.0
292,24.0,30.0,31.0,48.0,9.0,51.0,89.0,5.0,33.0,5.0
293,24.0,39.0,44.0,52.0,7.0,51.0,113.0,6.0,33.0,17.0
