,hospital-er-wait-minutes-columbus_midtown,hospital-er-wait-minutes-columbus_northside,hospital-er-wait-minutes-columbus_midtown_peds
903,102.0,20.0,6.0
904,102.0,26.0,6.0
905,102.0,26.0,6.0
906,126.0,26.0,6.0
907,126.0,26.0,6.0
908,126.0,26.0,7.0
909,126.0,26.0,7.0
910,126.0,37.0,7.0
911,126.0,37.0,7.0
912,134.0,37.0,7.0
913,134.0,37.0,7.0
914,134.0,37.0,7.0
915,134.0,51.0,7.0
916,134.0,51.0,7.0
917,134.0,51.0,7.0
918,102.0,51.0,7.0
919,102.0,51.0,7.0
920,102.0,51.0,3.0
921,102.0,63.0,3.0
922,102.0,63.0,3.0
923,102.0,63.0,3.0
924,100.0,63.0,3.0
925,100.0,63.0,3.0
926,100.0,63.0,2.0
927,100.0,62.0,2.0
928,100.0,62.0,2.0
929,100.0,62.0,2.0
930,113.0,62.0,3.0
931,113.0,52.0,3.0
932,113.0,52.0,3.0
933,113.0,52.0,3.0
934,113.0,52.0,3.0
935,113.0,52.0,3.0
936,85.0,52.0,2.0
937,85.0,32.0,2.0
938,85.0,32.0,2.0
939,85.0,32.0,2.0
940,85.0,32.0,2.0
941,85.0,32.0,2.0
942,77.0,32.0,1.0
943,77.0,27.0,1.0
944,77.0,27.0,1.0
945,77.0,27.0,1.0
946,77.0,27.0,1.0
947,77.0,27.0,1.0
948,92.0,27.0,4.0
949,92.0,24.0,4.0
950,92.0,24.0,4.0
951,92.0,24.0,4.0
952,92.0,24.0,4.0
953,92.0,24.0,4.0
954,97.0,33.0,5.0
955,97.0,33.0,5.0
956,97.0,33.0,5.0
957,97.0,33.0,5.0
958,97.0,33.0,5.0
959,97.0,33.0,5.0
960,96.0,24.0,5.0
961,96.0,24.0,5.0
962,96.0,24.0,5.0
963,96.0,24.0,5.0
964,96.0,24.0,5.0
965,96.0,24.0,5.0
966,79.0,22.0,10.0
967,79.0,22.0,10.0
968,79.0,22.0,10.0
969,79.0,22.0,10.0
970,79.0,22.0,10.0
971,79.0,22.0,10.0
972,47.0,32.0,14.0
973,47.0,32.0,14.0
974,47.0,32.0,14.0
975,47.0,32.0,14.0
976,47.0,32.0,14.0
977,39.0,50.0,17.0
978,39.0,50.0,17.0
979,39.0,50.0,17.0
980,39.0,50.0,17.0
