,electricity-load-nyiso-dunwod,electricity-load-nyiso-genese,electricity-load-nyiso-north,electricity-load-nyiso-west,electricity-load-nyiso-capitl,electricity-load-nyiso-nyc,electricity-load-nyiso-overall,electricity-load-nyiso-centrl,electricity-load-nyiso-hud_valley,electricity-load-nyiso-longil,electricity-load-nyiso-millwd,electricity-load-nyiso-mhk_valley
121,871.698,1252.1516,595.2129,1720.353,1664.5686,6946.6953,20863.438799999996,1960.1029,1344.8413,3250.1929,390.3942,930.7141
122,857.1194,1247.0859,600.2161,1711.4639,1648.0864,6942.9365,20848.061300000005,1939.9681,1384.7765,3245.3672,376.8381,922.736
123,858.6779,1245.072,593.6172,1722.0576,1643.4363,6906.677,20772.2266,1946.1846,1339.386,3210.823,404.7912,914.4768
124,849.489,1236.7666,592.1774,1715.596,1636.5688,6902.2515,20772.3591,1937.7816,1373.7595,3199.8389,365.9986,917.4355
125,864.1931,1232.7096,587.403,1719.2241,1619.5759,6909.3545,20656.7782,1928.8065,1317.5686,3192.9788,392.9737,923.1715
126,847.3526,1228.3167,567.7585,1735.6726,1617.6626,6928.615,20628.101000000002,1953.472,1351.0708,3185.5237,380.0959,920.6025
127,845.283,1219.4132,578.6143,1698.0223,1616.4435,6878.5654,20556.0322,1956.9183,1335.7166,3169.091,372.7492,900.4402
128,843.1923,1216.8937,581.027,1699.6606,1610.278,6880.293,20502.3483,1948.5933,1310.6829,3150.7915,382.6085,899.4638
129,851.512,1213.3054,576.0356,1679.9636,1600.112,6863.793,20413.4394,1936.4546,1310.8877,3142.6357,359.8581,894.5618
130,849.3513,1199.5715,576.8027,1666.7402,1596.5312,6870.534,20346.6755,1926.7833,1308.4667,3109.4077,361.0125,895.8682
131,844.9536,1189.1311,560.0798,1681.4187,1585.3474,6863.497,20254.214900000003,1917.5426,1310.3461,3106.092,353.5553,899.4722
132,841.3615,1190.1248,567.2216,1659.4353,1577.7283,6845.8594,20173.4067,1906.534,1310.6246,3093.2808,359.3103,883.9509
133,839.3071,1179.2986,556.2157,1656.5846,1560.7212,6831.8516,20084.346899999997,1921.5624,1324.78,3060.2993,366.8823,880.4157
134,835.0851,1183.0197,531.0291,1634.153,1574.2002,6788.7397,19983.7342,1898.6357,1267.8577,3060.276,373.6158,876.4657
135,825.6866,1176.6257,565.1426,1636.3157,1556.5808,6764.9336,19987.421399999996,1896.215,1277.8883,3056.1665,369.8738,871.8926
136,822.7186,1161.3135,566.3396,1638.7911,1553.5327,6756.632,19773.246199999998,1824.7432,1259.3872,3019.073,354.8354,854.544
137,835.8565,1154.8726,570.7269,1622.7617,1538.0803,6755.5264,19749.272400000005,1818.6991,1272.2468,3024.0278,347.1761,860.3705
138,815.939,1151.2458,550.8008,1624.4733,1539.7485,6720.8594,19659.2226,1800.2207,1272.8495,2997.067,353.3264,851.0446
139,814.0721,1141.8081,550.3832,1613.4556,1518.5503,6722.66,19561.4415,1790.004,1251.081,2978.0718,346.0898,849.5787
140,818.3829,1135.7922,546.1478,1642.7964,1510.8218,6715.3916,19515.4687,1819.0732,1232.8894,2968.6052,349.9721,849.0075
141,809.9813,1128.5281,550.3569,1631.6528,1503.3896,6674.6953,19465.2332,1827.9999,1257.596,2942.6921,335.361,823.121
142,810.2542,1120.4387,552.9495,1632.263,1496.241,6661.5254,19280.040599999997,1812.4073,1252.3832,2914.116,340.578,807.8625
143,788.7671,1108.6042,546.1325,1609.9496,1478.3308,6653.6714,19155.3959,1746.939,1241.7605,2902.3843,347.5368,821.8638
144,807.0901,1100.2393,544.5448,1591.2012,1467.6775,6584.3477,19096.8063,1783.3201,1218.8627,2890.3533,343.8862,814.0546
145,810.4975,1091.3877,539.648,1584.925,1469.9478,6563.5527,19006.817799999997,1782.755,1194.7104,2872.6038,335.6473,802.4183
146,797.7805,1085.5022,536.6149,1593.009,1468.8783,6538.4453,18864.415,1755.6283,1183.6864,2849.9958,343.6179,806.4697
147,786.2654,1082.6829,549.2871,1552.9141,1439.992,6526.91,18810.408400000004,1748.9685,1192.8248,2839.7563,338.2146,802.1657
148,760.9965,1076.8031,540.9965,1594.399,1427.3307,6494.842,18727.3964,1741.2074,1178.413,2805.3105,332.0239,799.2654
149,780.1144,1067.7351,541.8832,1578.3241,1422.6938,6461.121,18579.7795,1704.7499,1168.3481,2799.022,322.4804,789.4218
150,772.4915,1061.3457,540.0427,1548.5553,1415.9668,6467.6074,18495.985999999997,1683.9453,1182.4972,2774.3015,326.9843,780.5898
151,767.4939,1046.8168,541.1221,1559.8958,1411.9551,6442.3984,18375.1084,1668.7107,1142.5201,2759.387,333.7405,779.2594
152,760.7802,1041.2693,543.5094,1542.6875,1398.7246,6402.923,18300.234599999996,1660.397,1162.1144,2729.7246,311.086,776.4169
153,763.1769,1035.2964,542.1409,1541.8575,1389.9886,6388.129,18199.4712,1673.2855,1158.654,2706.3735,306.7909,767.1694
154,757.5945,1023.7114,531.569,1529.3142,1382.3336,6371.958,18087.262700000003,1686.8326,1133.2737,2677.852,307.3453,776.9779
155,750.0134,1016.8924,543.2178,1530.7638,1372.844,6332.8633,18005.004500000003,1683.357,1117.0331,2661.2234,312.8741,756.5501
156,746.6248,1012.9021,530.6567,1522.9933,1369.4702,6286.59,17883.1413,1655.2406,1123.4783,2649.9119,305.7414,756.6895
157,743.2008,1003.4733,550.9318,1498.5618,1373.7112,6271.3945,17779.622900000002,1643.7402,1115.3876,2629.7048,294.4001,727.6002
158,737.1656,1003.8679,531.1451,1496.6028,1360.0947,6237.288,17684.764900000002,1640.09,1106.5079,2613.0752,301.9863,737.5079
159,731.874,1001.2161,537.495,1471.3619,1340.7073,6206.9053,17622.4335,1630.7664,1091.5762,2602.7642,290.1837,743.1879
160,729.4161,995.2522,551.9885,1483.896,1342.7344,6187.254,17532.541599999997,1636.6431,1079.9346,2584.325,297.7977,725.8669
161,714.4002,982.0723,542.1954,1480.3925,1333.5305,6171.2246,17471.431300000004,1636.3903,1086.1595,2549.4163,281.619,724.9091
162,713.1163,979.023,543.2341,1479.9039,1328.8591,6123.2065,17347.0245,1562.8848,1098.5144,2528.9697,277.9053,725.0863
