,hospital-er-wait-minutes-piedmont_newton,hospital-er-wait-minutes-piedmont_fayette,hospital-er-wait-minutes-piedmont_henry,hospital-er-wait-minutes-piedmont_atlanta,hospital-er-wait-minutes-piedmont_mountside_ellijay,hospital-er-wait-minutes-piedmont_walton,hospital-er-wait-minutes-piedmont_rockdale,hospital-er-wait-minutes-piedmont_newnan,hospital-er-wait-minutes-piedmont_mountainside,hospital-er-wait-minutes-piedmont_athens
138,6.0,110.0,206.0,38.0,40.0,3.0,61.0,5.0,78.0,15.0
139,6.0,110.0,206.0,38.0,40.0,3.0,61.0,5.0,78.0,15.0
140,9.0,92.0,239.0,27.0,48.0,3.0,51.0,4.0,61.0,12.0
141,9.0,92.0,239.0,27.0,48.0,3.0,51.0,4.0,61.0,12.0
142,9.0,93.0,233.0,12.0,43.0,1.0,51.0,4.0,66.0,15.0
143,9.0,93.0,233.0,12.0,43.0,1.0,51.0,4.0,66.0,15.0
144,9.0,108.0,266.0,16.0,22.0,2.0,19.0,4.0,62.0,21.0
145,9.0,108.0,266.0,16.0,22.0,2.0,19.0,4.0,62.0,21.0
146,16.0,130.0,334.0,21.0,18.0,1.0,11.0,4.0,62.0,32.0
147,16.0,130.0,334.0,21.0,18.0,1.0,11.0,4.0,62.0,32.0
148,21.0,141.0,357.0,17.0,11.0,0.0,8.0,6.0,64.0,26.0
149,21.0,141.0,357.0,17.0,11.0,0.0,8.0,6.0,64.0,26.0
150,30.0,158.0,354.0,12.0,10.0,0.0,24.0,7.0,14.0,19.0
151,30.0,158.0,354.0,12.0,10.0,0.0,24.0,7.0,14.0,19.0
152,30.0,158.0,354.0,12.0,10.0,0.0,24.0,7.0,14.0,19.0
153,1.0,170.0,361.0,11.0,16.0,0.0,15.0,5.0,14.0,14.0
154,1.0,182.0,399.0,10.0,0.0,3.0,11.0,2.0,9.0,18.0
155,1.0,182.0,399.0,10.0,0.0,3.0,11.0,2.0,9.0,18.0
156,17.0,200.0,380.0,9.0,15.0,3.0,20.0,2.0,14.0,20.0
157,17.0,200.0,380.0,9.0,15.0,3.0,20.0,2.0,14.0,20.0
158,17.0,233.0,409.0,9.0,43.0,1.0,26.0,3.0,13.0,19.0
159,17.0,233.0,409.0,9.0,43.0,1.0,26.0,3.0,13.0,19.0
160,21.0,206.0,474.0,8.0,43.0,1.0,18.0,4.0,9.0,14.0
161,21.0,206.0,474.0,8.0,43.0,1.0,18.0,4.0,9.0,14.0
162,43.0,164.0,496.0,3.0,0.0,1.0,22.0,5.0,12.0,21.0
163,43.0,164.0,496.0,3.0,0.0,1.0,22.0,5.0,12.0,21.0
164,35.0,184.0,676.0,7.0,0.0,0.0,0.0,2.0,7.0,31.0
165,35.0,184.0,676.0,7.0,0.0,0.0,0.0,2.0,7.0,31.0
166,35.0,184.0,676.0,7.0,0.0,0.0,0.0,2.0,7.0,31.0
167,44.0,260.0,684.0,9.0,0.0,1.0,3.0,0.0,7.0,23.0
168,64.0,374.0,485.0,15.0,0.0,1.0,3.0,5.0,11.0,13.0
169,64.0,374.0,485.0,15.0,0.0,1.0,3.0,5.0,11.0,13.0
170,71.0,403.0,459.0,17.0,12.0,2.0,0.0,8.0,11.0,10.0
171,71.0,403.0,459.0,17.0,12.0,2.0,0.0,8.0,11.0,10.0
172,88.0,302.0,488.0,21.0,20.0,3.0,18.0,17.0,0.0,13.0
173,88.0,302.0,488.0,21.0,20.0,3.0,18.0,17.0,0.0,13.0
174,111.0,322.0,922.0,14.0,20.0,6.0,31.0,24.0,0.0,16.0
175,111.0,322.0,922.0,14.0,20.0,6.0,31.0,24.0,0.0,16.0
176,149.0,422.0,892.0,7.0,13.0,0.0,31.0,4.0,0.0,14.0
177,149.0,422.0,892.0,7.0,13.0,0.0,31.0,4.0,0.0,14.0
178,191.0,263.0,887.0,0.0,13.0,0.0,24.0,4.0,0.0,8.0
179,191.0,263.0,887.0,0.0,13.0,0.0,24.0,4.0,0.0,8.0
180,146.0,244.0,794.0,6.0,14.0,0.0,17.0,5.0,10.0,12.0
181,146.0,244.0,794.0,6.0,14.0,0.0,17.0,5.0,10.0,12.0
182,115.0,102.0,766.0,6.0,10.0,0.0,19.0,2.0,10.0,29.0
183,115.0,102.0,766.0,6.0,10.0,0.0,19.0,2.0,10.0,29.0
184,116.0,128.0,854.0,6.0,10.0,6.0,48.0,3.0,6.0,26.0
185,116.0,128.0,854.0,6.0,10.0,6.0,48.0,3.0,6.0,26.0
186,78.0,177.0,726.0,7.0,19.0,4.0,55.0,5.0,11.0,16.0
187,78.0,177.0,726.0,7.0,19.0,4.0,55.0,5.0,11.0,16.0
188,55.0,235.0,641.0,9.0,13.0,3.0,70.0,3.0,17.0,15.0
189,55.0,235.0,641.0,9.0,13.0,3.0,70.0,3.0,17.0,15.0
190,44.0,158.0,486.0,5.0,16.0,3.0,79.0,2.0,18.0,22.0
191,44.0,158.0,486.0,5.0,16.0,3.0,79.0,2.0,18.0,22.0
192,19.0,128.0,764.0,9.0,32.0,3.0,50.0,4.0,18.0,28.0
193,19.0,128.0,764.0,9.0,32.0,3.0,50.0,4.0,18.0,28.0
194,31.0,124.0,759.0,9.0,50.0,2.0,33.0,4.0,11.0,33.0
195,31.0,124.0,759.0,9.0,50.0,2.0,33.0,4.0,11.0,33.0
196,54.0,89.0,520.0,9.0,88.0,2.0,33.0,3.0,23.0,36.0
197,54.0,89.0,520.0,9.0,88.0,2.0,33.0,3.0,23.0,36.0
198,57.0,71.0,348.0,8.0,137.0,1.0,35.0,3.0,32.0,34.0
199,57.0,71.0,348.0,8.0,137.0,1.0,35.0,3.0,32.0,34.0
200,61.0,75.0,238.0,7.0,138.0,1.0,38.0,2.0,35.0,35.0
201,61.0,75.0,238.0,7.0,138.0,1.0,38.0,2.0,35.0,35.0
202,57.0,81.0,207.0,8.0,148.0,2.0,28.0,3.0,34.0,40.0
203,57.0,81.0,207.0,8.0,148.0,2.0,28.0,3.0,34.0,40.0
204,32.0,73.0,217.0,8.0,178.0,2.0,20.0,2.0,22.0,55.0
205,32.0,73.0,217.0,8.0,178.0,2.0,20.0,2.0,22.0,55.0
206,27.0,83.0,181.0,11.0,130.0,0.0,26.0,5.0,14.0,51.0
