,electricity-fueltype-nyiso-natural_gas,electricity-fueltype-nyiso-nuclear,electricity-fueltype-nyiso-other_renewables,electricity-fueltype-nyiso-dual_fuel,electricity-fueltype-nyiso-other_fossil_fuels,electricity-fueltype-nyiso-wind,electricity-fueltype-nyiso-hydro
166,2789.0,4397.0,249.0,3095.0,2.0,499.0,2995.0
167,2786.0,4396.0,248.0,3163.0,2.0,503.0,3078.0
168,2843.0,4396.0,254.0,3184.0,2.0,506.0,3154.0
169,2879.0,4395.0,254.0,3232.0,2.0,494.0,3159.0
170,2919.0,4398.0,251.0,3244.0,2.0,480.0,3162.0
171,2937.0,4399.0,252.0,3261.0,2.0,467.0,3210.0
172,2973.0,4398.0,252.0,3270.0,2.0,469.0,3196.0
173,3031.0,4397.0,254.0,3254.0,2.0,468.0,3196.0
174,3053.0,4397.0,251.0,3207.0,2.0,459.0,3228.0
175,3047.0,4399.0,255.0,3234.0,2.0,435.0,3261.0
176,3084.0,4398.0,257.0,3271.0,2.0,422.0,3280.0
177,3084.0,4398.0,257.0,3271.0,2.0,422.0,3280.0
178,3118.0,4398.0,253.0,3301.0,2.0,428.0,3374.0
179,3080.0,4398.0,256.0,3348.0,2.0,413.0,3345.0
180,3041.0,4398.0,255.0,3378.0,2.0,404.0,3352.0
181,3004.0,4399.0,251.0,3446.0,2.0,398.0,3431.0
182,2995.0,4398.0,248.0,3467.0,2.0,410.0,3433.0
183,2949.0,4398.0,250.0,3483.0,2.0,415.0,3432.0
184,2937.0,4398.0,256.0,3499.0,2.0,417.0,3424.0
185,2966.0,4397.0,254.0,3524.0,2.0,416.0,3468.0
186,3020.0,4397.0,254.0,3546.0,2.0,418.0,3462.0
187,3007.0,4397.0,253.0,3553.0,2.0,425.0,3469.0
188,3009.0,4396.0,256.0,3565.0,2.0,434.0,3457.0
189,3022.0,4397.0,261.0,3577.0,2.0,429.0,3475.0
190,3041.0,4399.0,258.0,3617.0,2.0,438.0,3452.0
191,3008.0,4399.0,260.0,3680.0,2.0,435.0,3450.0
192,2980.0,4398.0,260.0,3697.0,2.0,424.0,3473.0
193,2980.0,4397.0,260.0,3735.0,2.0,425.0,3506.0
194,2988.0,4397.0,256.0,3765.0,2.0,417.0,3509.0
195,2979.0,4396.0,258.0,3808.0,2.0,401.0,3492.0
196,2979.0,4396.0,258.0,3808.0,2.0,401.0,3492.0
197,3067.0,4400.0,252.0,3738.0,2.0,387.0,3500.0
198,3082.0,4397.0,255.0,3704.0,2.0,379.0,3516.0
199,3105.0,4398.0,253.0,3697.0,2.0,378.0,3525.0
200,3101.0,4395.0,242.0,3729.0,2.0,368.0,3526.0
201,3112.0,4397.0,245.0,3791.0,2.0,362.0,3529.0
202,3112.0,4397.0,245.0,3791.0,2.0,362.0,3529.0
203,3095.0,4398.0,248.0,3816.0,2.0,360.0,3496.0
204,2963.0,4397.0,250.0,3808.0,2.0,375.0,3480.0
205,2963.0,4397.0,250.0,3808.0,2.0,375.0,3480.0
206,2923.0,4398.0,258.0,3844.0,2.0,386.0,3477.0
207,2969.0,4397.0,250.0,3756.0,2.0,373.0,3491.0
208,2974.0,4397.0,254.0,3786.0,2.0,374.0,3516.0
209,2968.0,4396.0,255.0,3814.0,23.0,366.0,3515.0
210,2968.0,4396.0,255.0,3814.0,23.0,366.0,3515.0
211,2953.0,4395.0,248.0,3823.0,80.0,354.0,3487.0
212,2972.0,4395.0,247.0,3850.0,90.0,359.0,3481.0
213,2979.0,4395.0,242.0,3872.0,72.0,374.0,3451.0
214,2968.0,4397.0,242.0,3837.0,42.0,390.0,3486.0
215,2963.0,4397.0,245.0,3808.0,9.0,407.0,3486.0
216,2940.0,4396.0,243.0,3823.0,2.0,429.0,3399.0
217,2970.0,4396.0,246.0,3786.0,2.0,442.0,3445.0
218,2986.0,4394.0,242.0,3768.0,2.0,440.0,3463.0
219,3021.0,4394.0,242.0,3742.0,2.0,447.0,3481.0
220,3035.0,4393.0,248.0,3726.0,2.0,444.0,3485.0
221,3049.0,4394.0,245.0,3701.0,2.0,444.0,3523.0
222,3072.0,4394.0,250.0,3678.0,2.0,442.0,3526.0
223,3060.0,4396.0,249.0,3677.0,2.0,445.0,3526.0
224,3037.0,4395.0,248.0,3656.0,2.0,444.0,3506.0
225,3053.0,4395.0,244.0,3637.0,2.0,433.0,3459.0
226,3041.0,4398.0,243.0,3604.0,2.0,420.0,3486.0
227,3014.0,4397.0,245.0,3605.0,2.0,401.0,3478.0
228,3026.0,4393.0,244.0,3607.0,2.0,398.0,3471.0
229,2997.0,4392.0,249.0,3681.0,2.0,399.0,3480.0
230,2957.0,4396.0,242.0,3740.0,2.0,394.0,3505.0
231,2970.0,4394.0,242.0,3726.0,2.0,392.0,3516.0
232,3067.0,4394.0,239.0,3642.0,2.0,407.0,3517.0
233,3123.0,4395.0,248.0,3572.0,2.0,412.0,3531.0
234,3111.0,4393.0,246.0,3598.0,2.0,415.0,3521.0
235,3055.0,4395.0,243.0,3642.0,2.0,409.0,3506.0
236,3016.0,4394.0,244.0,3676.0,2.0,415.0,3429.0
237,3014.0,4395.0,246.0,3675.0,2.0,420.0,3422.0
238,3035.0,4393.0,247.0,3743.0,2.0,426.0,3409.0
239,3091.0,4396.0,247.0,3808.0,2.0,424.0,3436.0
240,3145.0,4394.0,248.0,3807.0,2.0,422.0,3443.0
241,3135.0,4392.0,252.0,3834.0,2.0,470.0,3383.0
242,3102.0,4394.0,247.0,3836.0,2.0,537.0,3366.0
243,3102.0,4394.0,243.0,3810.0,2.0,546.0,3351.0
244,3087.0,4396.0,242.0,3826.0,2.0,553.0,3314.0
245,3069.0,4394.0,243.0,3802.0,2.0,547.0,3346.0
246,3059.0,4396.0,243.0,3824.0,2.0,540.0,3318.0
247,3039.0,4394.0,250.0,3832.0,2.0,536.0,3346.0
248,3058.0,4395.0,250.0,3809.0,2.0,541.0,3351.0
249,3085.0,4397.0,251.0,3796.0,2.0,550.0,3339.0
250,3112.0,4395.0,248.0,3805.0,2.0,569.0,3318.0
251,3107.0,4396.0,248.0,3835.0,2.0,560.0,3269.0
252,3080.0,4397.0,246.0,3822.0,2.0,549.0,3328.0
253,3062.0,4395.0,250.0,3868.0,2.0,541.0,3343.0
254,3142.0,4397.0,243.0,3916.0,2.0,542.0,3345.0
255,3177.0,4396.0,243.0,3934.0,2.0,540.0,3394.0
256,3162.0,4398.0,247.0,4028.0,2.0,537.0,3442.0
257,3162.0,4398.0,252.0,4123.0,2.0,536.0,3424.0
258,3215.0,4398.0,247.0,4172.0,2.0,542.0,3445.0
259,3207.0,4396.0,247.0,4251.0,2.0,550.0,3497.0
260,3182.0,4396.0,247.0,4351.0,2.0,548.0,3544.0
261,3233.0,4396.0,250.0,4434.0,2.0,553.0,3537.0
262,3264.0,4397.0,249.0,4494.0,2.0,551.0,3557.0
263,3276.0,4399.0,249.0,4559.0,2.0,545.0,3563.0
264,3280.0,4396.0,245.0,4661.0,2.0,546.0,3555.0
265,3251.0,4395.0,245.0,4732.0,2.0,565.0,3573.0
266,3285.0,4395.0,242.0,4788.0,2.0,584.0,3534.0
267,3190.0,4397.0,241.0,4833.0,2.0,602.0,3554.0
268,3120.0,4398.0,238.0,4857.0,2.0,623.0,3607.0
269,3097.0,4395.0,238.0,4895.0,2.0,628.0,3604.0
270,3095.0,4398.0,246.0,4884.0,2.0,635.0,3590.0
271,3119.0,4395.0,249.0,4885.0,2.0,629.0,3571.0
272,3159.0,4396.0,251.0,4909.0,2.0,618.0,3489.0
273,3159.0,4397.0,248.0,4902.0,2.0,614.0,3503.0
274,3111.0,4397.0,248.0,4910.0,2.0,612.0,3544.0
275,3071.0,4396.0,243.0,4933.0,2.0,606.0,3631.0
276,3092.0,4396.0,242.0,4927.0,2.0,614.0,3684.0
277,3181.0,4395.0,243.0,4900.0,2.0,614.0,3645.0
278,3275.0,4396.0,243.0,4871.0,2.0,605.0,3603.0
