,emojitracker-twitter-smiling_face_with_open_mouth_and_smiling_eyes,emojitracker-twitter-smiling_face_with_heart-shaped_eyes,emojitracker-twitter-smiling_face_with_open_mouth_and_tightly-closed_eyes,emojitracker-twitter-smiling_face_with_smiling_eyes
763,48.0,255.0,48.0,120.0
764,51.0,260.0,35.0,111.0
765,40.0,257.0,45.0,121.0
766,31.0,279.0,68.0,128.0
767,33.0,275.0,45.0,116.0
768,38.0,268.0,48.0,118.0
769,42.0,245.0,46.0,113.0
770,34.0,254.0,54.0,100.0
771,46.0,268.0,59.0,128.0
772,40.0,288.0,54.0,130.0
773,39.0,267.0,55.0,124.0
774,34.0,260.0,53.0,114.0
775,42.0,284.0,53.0,118.0
776,41.0,257.0,51.0,115.0
777,35.0,273.0,59.0,128.0
778,28.0,266.0,56.0,111.0
779,41.0,230.0,64.0,101.0
780,32.0,249.0,41.0,136.0
781,27.0,251.0,52.0,137.0
782,32.0,264.0,44.0,109.0
783,42.0,237.0,48.0,137.0
784,43.0,208.0,47.0,112.0
785,28.0,270.0,54.0,107.0
786,42.0,234.0,55.0,129.0
787,39.0,267.0,53.0,110.0
788,32.0,260.0,51.0,120.0
789,36.0,261.0,52.0,123.0
790,29.0,252.0,50.0,97.0
791,38.0,242.0,48.0,130.0
792,41.0,254.0,49.0,106.0
793,33.0,223.0,52.0,113.0
794,37.0,256.0,56.0,115.0
795,37.0,239.0,49.0,117.0
796,26.0,232.0,49.0,127.0
797,42.0,231.0,59.0,92.0
798,28.0,240.0,43.0,125.0
799,36.0,225.0,70.0,113.0
800,34.0,234.0,46.0,106.0
801,36.0,245.0,43.0,123.0
802,39.0,246.0,47.0,112.0
803,32.0,244.0,49.0,116.0
804,33.0,229.0,51.0,110.0
805,34.0,271.0,52.0,108.0
806,34.0,254.0,54.0,105.0
807,29.0,250.0,44.0,118.0
808,27.0,231.0,50.0,92.0
809,47.0,204.0,45.0,128.0
810,28.0,229.0,54.0,114.0
811,29.0,215.0,46.0,102.0
812,33.0,240.0,57.0,120.0
813,30.0,243.0,52.0,90.0
814,27.0,241.0,51.0,123.0
815,26.0,247.0,56.0,117.0
816,26.0,222.0,57.0,114.0
817,37.0,258.0,44.0,108.0
818,39.0,245.0,51.0,126.0
819,28.0,243.0,43.0,101.0
820,33.0,221.0,60.0,118.0
821,20.0,225.0,55.0,117.0
822,25.0,210.0,57.0,108.0
823,23.0,214.0,57.0,97.0
824,32.0,214.0,40.0,110.0
825,28.0,228.0,50.0,102.0
826,26.0,249.0,41.0,101.0
827,29.0,226.0,50.0,113.0
828,22.0,237.0,44.0,120.0
829,29.0,243.0,48.0,123.0
830,29.0,211.0,41.0,104.0
831,24.0,257.0,51.0,106.0
832,28.0,254.0,63.0,94.0
833,35.0,233.0,52.0,117.0
834,34.0,230.0,44.0,79.0
835,31.0,230.0,55.0,90.0
836,33.0,252.0,56.0,99.0
837,32.0,237.0,56.0,100.0
838,34.0,234.0,55.0,92.0
839,25.0,231.0,57.0,95.0
840,34.0,257.0,52.0,115.0
841,28.0,230.0,42.0,112.0
842,23.0,255.0,39.0,115.0
843,35.0,274.0,52.0,125.0
844,39.0,245.0,40.0,103.0
845,26.0,247.0,47.0,106.0
846,25.0,214.0,60.0,105.0
847,31.0,285.0,49.0,105.0
848,29.0,212.0,44.0,113.0
849,23.0,261.0,52.0,115.0
850,35.0,239.0,51.0,91.0
851,33.0,241.0,45.0,101.0
852,21.0,229.0,48.0,101.0
853,21.0,248.0,56.0,113.0
854,36.0,232.0,47.0,109.0
855,34.0,255.0,56.0,106.0
856,31.0,204.0,48.0,94.0
857,30.0,256.0,43.0,87.0
858,24.0,216.0,49.0,105.0
859,30.0,234.0,43.0,105.0
860,22.0,234.0,46.0,109.0
861,30.0,220.0,42.0,113.0
862,31.0,264.0,55.0,110.0
863,31.0,247.0,62.0,113.0
864,28.0,250.0,49.0,94.0
865,23.0,222.0,58.0,105.0
866,32.0,236.0,42.0,113.0
867,34.0,224.0,49.0,110.0
868,23.0,217.0,49.0,137.0
869,19.0,227.0,49.0,115.0
870,26.0,234.0,42.0,99.0
871,24.0,243.0,56.0,92.0
872,31.0,207.0,55.0,119.0
873,24.0,208.0,53.0,95.0
874,27.0,215.0,52.0,115.0
875,35.0,232.0,51.0,93.0
876,21.0,238.0,59.0,109.0
877,23.0,245.0,54.0,94.0
878,33.0,217.0,51.0,106.0
879,24.0,191.0,47.0,103.0
880,32.0,221.0,58.0,92.0
881,25.0,232.0,52.0,103.0
882,26.0,229.0,43.0,92.0
883,35.0,237.0,55.0,93.0
884,24.0,222.0,41.0,117.0
885,31.0,239.0,58.0,98.0
886,25.0,208.0,46.0,107.0
887,34.0,214.0,57.0,98.0
888,32.0,201.0,50.0,112.0
889,28.0,210.0,57.0,94.0
890,27.0,211.0,50.0,115.0
891,34.0,262.0,54.0,98.0
892,30.0,257.0,50.0,105.0
893,24.0,243.0,52.0,99.0
894,29.0,225.0,46.0,125.0
895,20.0,214.0,48.0,104.0
896,22.0,270.0,60.0,116.0
897,35.0,254.0,47.0,92.0
898,29.0,217.0,52.0,118.0
899,42.0,224.0,36.0,135.0
900,31.0,214.0,39.0,124.0
901,32.0,227.0,47.0,83.0
902,28.0,229.0,54.0,109.0
903,25.0,206.0,51.0,119.0
904,24.0,201.0,45.0,102.0
905,32.0,213.0,57.0,99.0
906,26.0,248.0,48.0,107.0
907,31.0,229.0,48.0,107.0
908,29.0,244.0,47.0,84.0
909,24.0,229.0,49.0,86.0
910,19.0,219.0,58.0,101.0
911,36.0,207.0,54.0,97.0
912,24.0,195.0,62.0,114.0
913,29.0,201.0,44.0,105.0
914,30.0,194.0,51.0,101.0
915,28.0,223.0,45.0,103.0
916,33.0,223.0,49.0,117.0
917,26.0,214.0,55.0,114.0
918,36.0,230.0,54.0,85.0
919,24.0,247.0,52.0,98.0
920,27.0,214.0,46.0,95.0
921,35.0,201.0,55.0,89.0
922,29.0,219.0,53.0,102.0
923,23.0,198.0,63.0,86.0
924,26.0,209.0,54.0,102.0
925,27.0,209.0,61.0,104.0
926,20.0,223.0,51.0,103.0
927,41.0,212.0,51.0,103.0
928,30.0,228.0,50.0,104.0
929,25.0,201.0,42.0,99.0
930,28.0,259.0,48.0,106.0
931,22.0,201.0,51.0,91.0
932,25.0,252.0,66.0,110.0
933,18.0,209.0,57.0,101.0
934,29.0,230.0,60.0,108.0
935,24.0,244.0,47.0,86.0
936,26.0,220.0,65.0,103.0
937,19.0,222.0,50.0,97.0
938,26.0,203.0,58.0,103.0
939,22.0,229.0,59.0,90.0
940,21.0,199.0,61.0,95.0
941,26.0,203.0,58.0,108.0
942,27.0,218.0,43.0,113.0
943,17.0,239.0,53.0,103.0
944,27.0,225.0,40.0,121.0
945,22.0,197.0,65.0,100.0
946,23.0,184.0,60.0,93.0
947,36.0,210.0,56.0,92.0
948,40.0,202.0,57.0,81.0
949,23.0,209.0,46.0,81.0
950,35.0,232.0,46.0,107.0
951,24.0,211.0,56.0,94.0
952,21.0,265.0,58.0,96.0
953,20.0,247.0,67.0,107.0
954,23.0,214.0,52.0,98.0
955,29.0,224.0,53.0,94.0
956,29.0,196.0,56.0,103.0
957,30.0,244.0,44.0,93.0
958,22.0,198.0,52.0,85.0
959,30.0,237.0,53.0,103.0
960,41.0,215.0,55.0,104.0
961,29.0,201.0,57.0,101.0
962,28.0,237.0,67.0,119.0
963,29.0,242.0,68.0,112.0
964,20.0,225.0,56.0,101.0
965,22.0,246.0,52.0,119.0
966,28.0,212.0,54.0,122.0
967,26.0,211.0,59.0,100.0
968,19.0,218.0,61.0,110.0
969,28.0,213.0,58.0,92.0
970,31.0,201.0,58.0,108.0
971,34.0,216.0,44.0,105.0
972,27.0,203.0,70.0,80.0
973,17.0,206.0,62.0,96.0
974,28.0,218.0,59.0,99.0
975,32.0,249.0,54.0,125.0
976,28.0,233.0,64.0,111.0
977,22.0,235.0,46.0,113.0
978,21.0,217.0,42.0,103.0
979,23.0,214.0,48.0,97.0
980,23.0,215.0,70.0,113.0
981,25.0,237.0,52.0,87.0
982,31.0,231.0,63.0,107.0
983,32.0,231.0,47.0,98.0
984,25.0,246.0,46.0,92.0
985,25.0,198.0,57.0,108.0
986,30.0,213.0,51.0,92.0
987,16.0,234.0,68.0,106.0
988,23.0,203.0,58.0,95.0
989,33.0,188.0,51.0,89.0
990,34.0,223.0,55.0,100.0
991,26.0,215.0,58.0,85.0
992,26.0,228.0,60.0,114.0
993,31.0,214.0,60.0,125.0
994,19.0,185.0,64.0,112.0
995,24.0,204.0,48.0,117.0
996,25.0,226.0,58.0,97.0
997,31.0,235.0,66.0,93.0
998,19.0,243.0,57.0,109.0
999,20.0,216.0,52.0,103.0
