,electricity-fueltype-nyiso-dual_fuel,electricity-fueltype-nyiso-wind,electricity-fueltype-nyiso-other_fossil_fuels,electricity-fueltype-nyiso-natural_gas,electricity-fueltype-nyiso-other_renewables,electricity-fueltype-nyiso-nuclear,electricity-fueltype-nyiso-hydro
264,3646.0,1799.0,4.0,2668.0,211.0,3140.0,2925.0
265,3682.0,1799.0,4.0,2671.0,213.0,3141.0,2956.0
266,3698.0,1799.0,4.0,2684.0,218.0,3141.0,2966.0
267,3704.0,1789.0,4.0,2700.0,216.0,3141.0,2965.0
268,3718.0,1786.0,4.0,2699.0,216.0,3142.0,2956.0
269,3771.0,1798.0,4.0,2713.0,220.0,3142.0,2965.0
270,3771.0,1798.0,4.0,2713.0,220.0,3142.0,2965.0
271,3823.0,1807.0,4.0,2888.0,218.0,3141.0,2942.0
272,3785.0,1814.0,3.0,2955.0,212.0,3141.0,2990.0
273,3778.0,1840.0,3.0,3000.0,210.0,3141.0,3152.0
274,3878.0,1866.0,4.0,3044.0,204.0,3142.0,3301.0
275,3991.0,1884.0,4.0,3091.0,208.0,3141.0,3366.0
276,4020.0,1887.0,4.0,3119.0,206.0,3140.0,3438.0
277,4103.0,1876.0,4.0,3128.0,206.0,3141.0,3463.0
278,4136.0,1852.0,4.0,3140.0,211.0,3140.0,3462.0
279,4101.0,1841.0,4.0,3147.0,211.0,3140.0,3423.0
280,4090.0,1826.0,4.0,3151.0,214.0,3140.0,3374.0
281,4091.0,1838.0,4.0,3152.0,213.0,3140.0,3418.0
282,4112.0,1842.0,4.0,3151.0,214.0,3140.0,3435.0
283,4121.0,1819.0,4.0,3151.0,217.0,3140.0,3413.0
284,4104.0,1815.0,4.0,3142.0,212.0,3141.0,3426.0
285,4055.0,1823.0,5.0,3112.0,211.0,3140.0,3382.0
286,3979.0,1829.0,5.0,3086.0,217.0,3139.0,3373.0
287,3948.0,1838.0,5.0,3078.0,212.0,3139.0,3390.0
288,3928.0,1840.0,6.0,3069.0,210.0,3139.0,3368.0
289,3904.0,1835.0,6.0,3068.0,214.0,3140.0,3401.0
290,3894.0,1818.0,6.0,3068.0,210.0,3139.0,3430.0
291,3893.0,1800.0,6.0,3064.0,213.0,3139.0,3428.0
292,3907.0,1790.0,6.0,3067.0,216.0,3139.0,3428.0
293,3935.0,1793.0,6.0,3067.0,215.0,3139.0,3424.0
294,3952.0,1806.0,5.0,3034.0,217.0,3141.0,3397.0
295,3959.0,1799.0,5.0,3006.0,224.0,3140.0,3361.0
296,3928.0,1790.0,3.0,2966.0,223.0,3140.0,3314.0
297,3803.0,1784.0,3.0,2906.0,223.0,3140.0,3300.0
298,3672.0,1782.0,3.0,2862.0,220.0,3140.0,3273.0
299,3657.0,1770.0,3.0,2837.0,219.0,3139.0,3305.0
300,3630.0,1758.0,3.0,2820.0,216.0,3138.0,3315.0
301,3586.0,1757.0,3.0,2817.0,216.0,3139.0,3286.0
302,3579.0,1754.0,3.0,2815.0,217.0,3140.0,3339.0
303,3543.0,1751.0,3.0,2806.0,227.0,3138.0,3364.0
304,3543.0,1764.0,3.0,2783.0,230.0,3139.0,3340.0
305,3538.0,1771.0,3.0,2768.0,224.0,3139.0,3358.0
306,3543.0,1782.0,3.0,2800.0,229.0,3140.0,3372.0
307,3545.0,1777.0,12.0,2806.0,230.0,3140.0,3378.0
308,3533.0,1778.0,45.0,2790.0,233.0,3140.0,3381.0
309,3485.0,1784.0,75.0,2755.0,231.0,3140.0,3401.0
