,traffic-nj511-minutes-nj_turnpike_exit_14_to_nj_turnpike_exit_18w,traffic-nj511-minutes-ny_side_to_nj_turnpike_exit_14c,traffic-nj511-minutes-nj_turnpike_exit_18w_to_gw_bridge_via_local_lanes,traffic-nj511-minutes-nj_turnpike_exit_14_to_nj_turnpike_exit_8a,traffic-nj511-minutes-i-95_from_the_delaware_side_to_nj_turnpike_exit_1,traffic-nj511-minutes-nj_turnpike_exit_18w_to_nj_turnpike_exit_14,traffic-nj511-minutes-nj_turnpike_exit_18w_to_gw_bridge_via_express_lanes,traffic-nj511-minutes-nj_turnpike_exit_6_to_nj_turnpike_exit_1,traffic-nj511-minutes-nj_turnpike_exit_1_to_nj_turnpike_exit_6,traffic-nj511-minutes-nj_turnpike_from_exit_1_to_delaware,traffic-nj511-minutes-nj_turnpike_exit_8a_to_nj_turnpike_exit_14,traffic-nj511-minutes-gw_bridge_to_nj_turnpike_exit_18w_via_local_lanes,traffic-nj511-minutes-nj_turnpike_from_exit_14c_to_the_ny_side,traffic-nj511-minutes-gw_bridge_to_nj_turnpike_exit_18w_via_express_lanes
170,11.0,7.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,10.0,16.0,10.0
171,11.0,7.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,10.0,16.0,10.0
172,11.0,7.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,10.0,16.0,10.0
173,11.0,7.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,10.0,16.0,10.0
174,11.0,7.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,10.0,16.0,10.0
175,11.0,7.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,10.0,15.0,10.0
176,11.0,7.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,10.0,14.0,10.0
177,11.0,7.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,10.0,12.0,10.0
178,11.0,9.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,10.0,12.0,10.0
179,11.0,9.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,10.0,11.0,10.0
180,11.0,7.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,10.0,10.0,10.0
181,11.0,7.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,10.0,9.0,10.0
182,11.0,7.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,10.0,8.0,10.0
183,11.0,7.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,10.0,8.0,10.0
184,11.0,7.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,10.0,8.0,10.0
185,11.0,7.0,10.0,31.0,8.0,8.0,10.0,47.0,46.0,8.0,30.0,10.0,8.0,10.0
186,11.0,7.0,10.0,31.0,8.0,8.0,11.0,47.0,46.0,8.0,30.0,10.0,8.0,10.0
187,11.0,7.0,10.0,31.0,8.0,8.0,11.0,47.0,46.0,8.0,30.0,10.0,8.0,10.0
188,11.0,7.0,10.0,31.0,8.0,8.0,11.0,47.0,46.0,8.0,30.0,10.0,8.0,10.0
189,11.0,7.0,10.0,31.0,8.0,8.0,11.0,47.0,46.0,8.0,30.0,10.0,8.0,10.0
190,11.0,7.0,10.0,31.0,8.0,8.0,11.0,47.0,46.0,8.0,30.0,10.0,8.0,10.0
191,11.0,7.0,10.0,31.0,8.0,8.0,11.0,47.0,46.0,8.0,30.0,10.0,8.0,10.0
192,11.0,7.0,10.0,31.0,8.0,8.0,11.0,47.0,46.0,8.0,30.0,10.0,8.0,10.0
193,11.0,7.0,10.0,31.0,8.0,8.0,11.0,47.0,46.0,8.0,30.0,10.0,8.0,10.0
194,11.0,7.0,10.0,31.0,8.0,8.0,11.0,47.0,46.0,8.0,30.0,10.0,8.0,10.0
195,11.0,7.0,10.0,31.0,8.0,8.0,11.0,47.0,46.0,8.0,30.0,10.0,8.0,10.0
196,11.0,7.0,10.0,31.0,8.0,8.0,11.0,47.0,46.0,8.0,30.0,10.0,8.0,10.0
197,11.0,7.0,10.0,31.0,8.0,8.0,11.0,47.0,46.0,8.0,30.0,10.0,8.0,10.0
198,11.0,7.0,11.0,31.0,8.0,8.0,11.0,47.0,46.0,8.0,30.0,10.0,8.0,11.0
199,11.0,7.0,11.0,31.0,8.0,8.0,11.0,47.0,46.0,8.0,30.0,10.0,8.0,10.0
200,11.0,7.0,11.0,31.0,8.0,8.0,12.0,47.0,46.0,8.0,30.0,10.0,8.0,10.0
201,11.0,7.0,10.0,31.0,8.0,8.0,11.0,47.0,46.0,8.0,30.0,10.0,8.0,10.0
