,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_lower_level,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_upper_level,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_upper_level,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_lower_level
339,42.0,42.0,42.0,41.0
340,35.0,35.0,43.0,43.0
341,38.0,38.0,41.0,42.0
342,37.0,36.0,40.0,41.0
343,41.0,39.0,36.0,37.0
344,37.0,36.0,39.0,38.0
345,44.0,43.0,39.0,39.0
346,51.0,49.0,37.0,37.0
347,57.0,55.0,39.0,39.0
348,59.0,57.0,37.0,37.0
349,56.0,54.0,34.0,34.0
350,61.0,59.0,36.0,35.0
351,62.0,60.0,38.0,38.0
352,70.0,68.0,43.0,43.0
353,67.0,65.0,42.0,42.0
354,62.0,60.0,41.0,42.0
355,62.0,60.0,43.0,43.0
356,66.0,64.0,44.0,44.0
357,63.0,63.0,42.0,43.0
358,68.0,67.0,44.0,44.0
359,63.0,62.0,38.0,39.0
360,67.0,66.0,38.0,39.0
361,58.0,57.0,35.0,36.0
362,49.0,48.0,35.0,37.0
363,44.0,44.0,37.0,39.0
364,47.0,47.0,37.0,39.0
365,41.0,40.0,37.0,39.0
366,41.0,41.0,37.0,36.0
367,42.0,42.0,36.0,37.0
368,37.0,37.0,36.0,35.0
369,44.0,44.0,41.0,40.0
370,43.0,42.0,42.0,40.0
371,47.0,47.0,42.0,43.0
372,58.0,58.0,45.0,44.0
373,74.0,74.0,46.0,45.0
374,82.0,81.0,43.0,42.0
375,71.0,71.0,43.0,42.0
376,69.0,69.0,41.0,39.0
377,63.0,62.0,40.0,39.0
378,60.0,59.0,43.0,43.0
379,59.0,58.0,42.0,42.0
380,60.0,59.0,40.0,40.0
381,60.0,59.0,41.0,41.0
382,57.0,56.0,42.0,42.0
383,55.0,55.0,45.0,45.0
384,47.0,47.0,46.0,45.0
385,46.0,45.0,46.0,46.0
386,39.0,39.0,49.0,48.0
387,41.0,41.0,47.0,46.0
388,44.0,44.0,43.0,43.0
389,43.0,44.0,43.0,43.0
390,48.0,50.0,44.0,44.0
391,53.0,55.0,42.0,42.0
392,51.0,50.0,40.0,40.0
393,50.0,50.0,41.0,40.0
394,50.0,50.0,42.0,41.0
395,52.0,52.0,41.0,41.0
396,54.0,54.0,41.0,41.0
397,57.0,56.0,41.0,40.0
398,59.0,59.0,43.0,41.0
399,54.0,53.0,45.0,42.0
400,51.0,51.0,46.0,43.0
401,51.0,51.0,49.0,49.0
402,51.0,52.0,50.0,49.0
403,48.0,49.0,51.0,51.0
404,46.0,45.0,48.0,48.0
405,47.0,47.0,50.0,49.0
406,53.0,53.0,53.0,52.0
407,56.0,56.0,52.0,51.0
408,47.0,46.0,50.0,50.0
409,45.0,45.0,50.0,49.0
410,44.0,45.0,52.0,51.0
411,41.0,42.0,55.0,52.0
412,45.0,45.0,56.0,54.0
413,43.0,44.0,53.0,52.0
414,44.0,43.0,49.0,48.0
415,47.0,46.0,49.0,47.0
416,44.0,44.0,51.0,50.0
417,43.0,42.0,52.0,50.0
418,42.0,42.0,50.0,49.0
419,51.0,51.0,48.0,45.0
420,48.0,49.0,44.0,42.0
421,44.0,44.0,37.0,35.0
422,42.0,42.0,35.0,33.0
423,39.0,39.0,37.0,36.0
424,38.0,38.0,36.0,35.0
425,37.0,38.0,35.0,35.0
426,37.0,37.0,35.0,34.0
427,36.0,36.0,32.0,31.0
428,39.0,39.0,35.0,34.0
429,39.0,39.0,38.0,36.0
430,41.0,41.0,37.0,36.0
431,48.0,47.0,41.0,39.0
432,45.0,45.0,40.0,39.0
433,47.0,47.0,44.0,42.0
434,46.0,45.0,41.0,40.0
435,49.0,49.0,40.0,39.0
436,52.0,52.0,44.0,43.0
437,53.0,53.0,44.0,43.0
438,52.0,52.0,46.0,45.0
