,electricity-load-nyiso-centrl,electricity-load-nyiso-north,electricity-load-nyiso-nyc,electricity-load-nyiso-west,electricity-load-nyiso-dunwod,electricity-load-nyiso-genese,electricity-load-nyiso-hud_valley,electricity-load-nyiso-longil,electricity-load-nyiso-mhk_valley,electricity-load-nyiso-overall,electricity-load-nyiso-millwd,electricity-load-nyiso-capitl
145,2302.7058,639.9645,8910.991,2281.3674,1183.1621,1641.1869,1869.8337,3894.5034,1209.1897,26507.822600000003,554.5752,2020.3429
146,2280.4536,634.1309,8861.438,2283.0762,1168.1682,1633.6066,1856.2343,3879.9592,1192.6633,26351.6233,552.2806,2009.6124
147,2262.9512,628.6589,8824.126,2264.3757,1166.5079,1610.3516,1855.6669,3836.7944,1206.3552,26192.9375,549.0513,1988.0984
148,2251.8389,633.316,8791.092,2239.5068,1159.053,1602.1213,1848.3135,3817.2183,1199.2689,26064.2283,548.4766,1974.023
149,2201.7925,647.8965,8759.32,2249.5212,1153.2032,1592.362,1827.4216,3793.6301,1180.9434,25905.215799999998,542.9196,1956.2057
150,2191.8296,631.5169,8710.415,2240.758,1152.1698,1576.1172,1805.7451,3773.1672,1174.131,25744.137799999997,540.5927,1947.6953
151,2220.605,638.625,8678.574,2212.054,1144.3501,1566.0615,1810.6019,3737.3992,1167.4419,25641.2752,529.3608,1936.2018
152,2175.5186,629.343,8660.673,2196.572,1121.2485,1554.6184,1779.7986,3725.7878,1161.2341,25483.357500000002,528.6146,1949.9489
153,2166.2974,639.4992,8629.557,2200.902,1114.8281,1548.2852,1775.4241,3666.42,1136.4583,25340.908300000003,540.6545,1922.5825
154,2175.2148,633.0316,8595.892,2169.552,1109.1106,1536.073,1773.2484,3658.8943,1126.8982,25197.323299999996,515.6376,1903.7708
155,2116.7163,622.8906,8578.2705,2163.2156,1073.9508,1508.9264,1710.7947,3610.2732,1113.972,24896.2637,514.0361,1883.2175
156,2090.052,610.5878,8537.644,2130.647,1050.7184,1498.1007,1713.0833,3571.1577,1106.6791,24697.6557,507.7638,1881.2219
157,2086.0803,611.616,8494.439,2134.7456,1027.0245,1490.1504,1684.8535,3556.4238,1108.2161,24565.768900000003,506.6567,1865.563
158,2089.696,610.9476,8459.561,2125.296,1030.496,1482.1975,1688.9382,3534.3335,1097.9244,24474.6248,502.182,1853.0526
159,2062.2646,605.8751,8438.621,2123.648,1024.2019,1480.347,1644.5265,3505.2922,1099.4868,24332.2305,504.2073,1843.7601
160,2073.7634,596.0326,8384.23,2101.9658,1010.9028,1464.9143,1640.7225,3465.394,1098.9178,24172.0988,494.126,1841.1296
161,2051.7825,605.7446,8300.413,2107.728,1003.7199,1456.4197,1627.9196,3446.6802,1075.5957,23994.138299999995,494.0423,1824.0928
162,2063.2166,602.2122,8249.706,2096.5347,990.5508,1445.4543,1660.7128,3400.0876,1082.8756,23891.6217,486.7815,1813.4896
163,2073.128,607.3319,8231.428,2085.0383,997.4163,1446.873,1645.0685,3384.6086,1066.6937,23798.6508,468.7184,1792.3461
164,2046.2856,602.3203,8159.459,2063.4775,990.7512,1419.4358,1602.534,3326.4023,1072.04,23554.6333,466.2488,1805.6788
165,2002.6621,615.0048,8120.7534,2068.7554,967.6042,1420.1912,1583.8174,3307.9497,1057.073,23392.9542,475.0911,1774.0519
166,2033.1453,597.3004,8071.979,2029.4655,969.3678,1413.1206,1574.8241,3283.5132,1057.3181,23269.486399999998,471.127,1768.3254
167,2015.5974,594.3893,8074.1406,2028.3342,963.0297,1402.306,1541.2379,3253.6816,1045.4565,23145.8586,453.7997,1773.8857
168,2023.7375,599.0974,8017.687,2020.7871,959.9456,1390.1392,1515.6234,3239.6875,1051.6431,23031.661200000002,461.0895,1752.2239
169,1995.8323,617.8576,7977.6777,2023.3536,964.2534,1389.687,1498.3423,3206.5623,1049.7029,22923.653299999998,457.8304,1742.5538
170,1964.512,589.3892,7890.2334,1994.686,998.1227,1381.4795,1548.1086,3189.131,1057.5695,22813.7854,454.918,1745.6355
171,1974.02,591.6454,7874.2295,1997.7588,997.6289,1375.7311,1537.5618,3164.313,1038.699,22737.199,446.6562,1738.9553
172,1943.3691,587.0823,7818.9717,1991.3,996.9102,1366.9167,1538.9763,3148.6167,1048.2783,22592.692,440.4977,1711.773
173,1953.3892,591.5629,7789.5557,2001.5703,994.4598,1351.9275,1495.7064,3130.999,1040.2356,22509.8076,443.0855,1717.3157
174,1926.3789,599.8949,7751.587,1984.8281,989.5649,1354.3774,1484.5914,3091.428,1033.9365,22346.1974,434.1703,1695.44
175,1924.1333,590.1237,7727.1377,1974.5103,977.6286,1349.4932,1498.1116,3080.7627,1045.654,22304.4032,434.8793,1701.9688
176,1904.6135,598.0955,7699.754,1969.4277,975.9456,1350.6925,1438.4873,3082.104,1026.3093,22179.2575,436.4159,1697.4122
177,1903.957,598.4539,7670.913,1955.269,972.3194,1340.1738,1464.3759,3053.4614,1024.7053,22105.894500000002,434.9576,1687.3082
178,1936.9058,579.5525,7607.588,1963.4062,959.0258,1338.9283,1461.1644,3022.5388,1036.3212,22042.054000000004,439.11,1697.513
179,1897.4404,598.507,7589.948,1935.9541,976.7526,1333.4639,1454.3815,3031.5483,1018.4813,21964.777000000002,429.6364,1698.6635
180,1886.5342,599.926,7590.132,1942.0286,970.5795,1328.8606,1454.8103,2989.3628,1011.8848,21872.6653,415.6499,1682.8966
