,hospital-er-wait-minutes-columbus_northside,hospital-er-wait-minutes-columbus_midtown,hospital-er-wait-minutes-columbus_midtown_peds
494,67.0,35.0,10.0
495,67.0,35.0,10.0
496,68.0,46.0,11.0
497,68.0,46.0,11.0
498,78.0,50.0,10.0
499,78.0,50.0,10.0
500,78.0,50.0,10.0
501,34.0,40.0,9.0
502,36.0,46.0,8.0
503,36.0,46.0,8.0
504,45.0,70.0,4.0
505,45.0,70.0,4.0
506,64.0,60.0,6.0
507,64.0,60.0,6.0
508,72.0,59.0,6.0
509,72.0,59.0,6.0
510,71.0,68.0,11.0
511,71.0,68.0,11.0
512,65.0,64.0,20.0
513,65.0,64.0,20.0
514,70.0,79.0,23.0
515,70.0,79.0,23.0
516,67.0,103.0,30.0
517,67.0,103.0,30.0
518,69.0,95.0,23.0
519,69.0,95.0,23.0
520,68.0,86.0,24.0
521,68.0,86.0,24.0
522,64.0,86.0,33.0
523,64.0,86.0,33.0
524,68.0,76.0,34.0
525,68.0,76.0,34.0
526,90.0,87.0,23.0
527,90.0,87.0,23.0
528,90.0,116.0,21.0
529,90.0,116.0,21.0
530,9.0,98.0,17.0
531,9.0,98.0,17.0
532,9.0,82.0,13.0
533,9.0,82.0,13.0
534,7.0,92.0,0.0
535,7.0,92.0,0.0
536,4.0,126.0,0.0
537,4.0,126.0,0.0
538,7.0,111.0,4.0
539,7.0,111.0,4.0
540,10.0,79.0,2.0
541,10.0,79.0,2.0
542,10.0,18.0,1.0
543,10.0,18.0,1.0
544,7.0,18.0,0.0
545,7.0,18.0,0.0
546,17.0,0.0,14.0
547,17.0,0.0,14.0
548,29.0,12.0,13.0
549,29.0,12.0,13.0
550,29.0,14.0,13.0
551,29.0,14.0,13.0
552,0.0,30.0,0.0
553,0.0,30.0,0.0
554,5.0,41.0,0.0
555,5.0,41.0,0.0
556,4.0,32.0,3.0
557,4.0,32.0,3.0
558,4.0,35.0,11.0
559,4.0,35.0,11.0
560,14.0,44.0,10.0
561,14.0,44.0,10.0
562,16.0,48.0,9.0
563,16.0,48.0,9.0
564,20.0,44.0,12.0
565,20.0,44.0,12.0
566,20.0,45.0,16.0
567,20.0,45.0,16.0
568,8.0,56.0,15.0
569,8.0,56.0,15.0
570,15.0,56.0,15.0
571,15.0,56.0,15.0
572,15.0,66.0,13.0
573,15.0,66.0,13.0
574,12.0,78.0,7.0
575,12.0,78.0,7.0
576,16.0,103.0,7.0
577,16.0,103.0,7.0
578,21.0,98.0,17.0
579,21.0,98.0,17.0
580,21.0,92.0,17.0
581,21.0,92.0,17.0
582,29.0,107.0,23.0
583,29.0,107.0,23.0
584,40.0,130.0,28.0
585,40.0,130.0,28.0
586,48.0,133.0,23.0
587,48.0,133.0,23.0
588,58.0,125.0,15.0
589,58.0,125.0,15.0
590,71.0,141.0,18.0
591,71.0,141.0,18.0
592,104.0,156.0,16.0
593,104.0,156.0,16.0
594,91.0,145.0,16.0
595,91.0,145.0,16.0
596,78.0,154.0,13.0
597,78.0,154.0,13.0
598,90.0,151.0,7.0
599,90.0,151.0,7.0
600,82.0,178.0,11.0
601,82.0,178.0,11.0
602,55.0,150.0,20.0
603,55.0,150.0,20.0
604,66.0,161.0,29.0
605,66.0,161.0,29.0
606,78.0,191.0,35.0
607,78.0,191.0,35.0
608,88.0,173.0,50.0
609,88.0,173.0,50.0
610,118.0,182.0,74.0
611,118.0,182.0,74.0
612,146.0,142.0,84.0
613,146.0,142.0,84.0
614,119.0,165.0,80.0
615,119.0,165.0,80.0
616,82.0,163.0,90.0
617,82.0,163.0,90.0
618,73.0,153.0,46.0
619,73.0,153.0,46.0
620,88.0,194.0,38.0
621,88.0,194.0,38.0
622,68.0,247.0,35.0
623,68.0,247.0,35.0
624,0.0,85.0,41.0
625,0.0,85.0,41.0
626,2.0,54.0,17.0
627,2.0,54.0,17.0
628,2.0,67.0,4.0
629,2.0,67.0,4.0
630,0.0,73.0,11.0
631,0.0,73.0,11.0
632,0.0,85.0,11.0
633,0.0,85.0,11.0
634,0.0,111.0,0.0
635,0.0,111.0,0.0
636,0.0,94.0,4.0
637,0.0,94.0,4.0
638,0.0,67.0,4.0
639,0.0,67.0,4.0
640,0.0,100.0,8.0
641,0.0,100.0,8.0
642,3.0,100.0,11.0
643,3.0,100.0,11.0
644,6.0,40.0,0.0
645,6.0,40.0,0.0
646,10.0,47.0,0.0
647,10.0,47.0,0.0
648,0.0,66.0,5.0
649,0.0,66.0,5.0
650,11.0,48.0,5.0
651,11.0,48.0,5.0
652,9.0,71.0,10.0
653,9.0,71.0,10.0
654,6.0,66.0,8.0
655,6.0,66.0,8.0
656,11.0,76.0,5.0
657,11.0,76.0,5.0
658,16.0,88.0,8.0
659,16.0,88.0,8.0
660,21.0,71.0,8.0
661,21.0,71.0,8.0
662,13.0,51.0,6.0
663,13.0,51.0,6.0
664,14.0,56.0,7.0
665,14.0,56.0,7.0
666,21.0,77.0,11.0
667,21.0,77.0,11.0
668,21.0,97.0,20.0
669,21.0,97.0,20.0
670,29.0,107.0,20.0
671,29.0,107.0,20.0
672,39.0,120.0,16.0
673,39.0,120.0,16.0
674,37.0,122.0,14.0
675,37.0,122.0,14.0
676,28.0,97.0,16.0
677,28.0,97.0,16.0
678,19.0,122.0,18.0
679,19.0,122.0,18.0
680,19.0,137.0,27.0
681,19.0,137.0,27.0
682,18.0,150.0,48.0
683,18.0,150.0,48.0
684,16.0,163.0,60.0
685,16.0,163.0,60.0
686,23.0,142.0,40.0
687,23.0,142.0,40.0
688,34.0,140.0,21.0
689,34.0,140.0,21.0
690,40.0,203.0,30.0
691,40.0,203.0,30.0
692,32.0,140.0,30.0
693,32.0,140.0,30.0
694,31.0,131.0,24.0
695,31.0,131.0,24.0
696,40.0,148.0,7.0
697,40.0,148.0,7.0
698,52.0,108.0,8.0
699,52.0,108.0,8.0
700,54.0,108.0,10.0
701,54.0,108.0,10.0
702,60.0,68.0,8.0
703,60.0,68.0,8.0
704,67.0,96.0,6.0
