,emojitracker-twitter-smiling_face_with_smiling_eyes,emojitracker-twitter-smiling_face_with_heart-shaped_eyes
726,19.0,44.0
727,46.0,130.0
728,61.0,121.0
729,19.0,52.0
730,16.0,40.0
731,19.0,39.0
732,49.0,90.0
733,76.0,157.0
734,78.0,172.0
735,76.0,153.0
736,77.0,173.0
737,71.0,178.0
738,68.0,191.0
739,71.0,166.0
740,82.0,174.0
741,74.0,158.0
742,101.0,294.0
743,77.0,147.0
744,30.0,64.0
745,12.0,63.0
746,23.0,45.0
747,98.0,206.0
748,116.0,191.0
749,31.0,84.0
750,31.0,61.0
751,11.0,31.0
752,20.0,75.0
753,67.0,129.0
754,62.0,135.0
755,83.0,163.0
756,69.0,188.0
757,78.0,167.0
758,79.0,162.0
759,76.0,173.0
760,57.0,134.0
761,54.0,117.0
762,59.0,133.0
763,15.0,34.0
764,8.0,21.0
765,14.0,35.0
766,15.0,31.0
767,20.0,48.0
768,51.0,147.0
769,74.0,126.0
770,63.0,118.0
771,36.0,72.0
772,29.0,51.0
773,60.0,127.0
774,50.0,115.0
775,13.0,39.0
776,14.0,36.0
777,17.0,37.0
778,17.0,29.0
779,55.0,128.0
780,58.0,161.0
781,13.0,42.0
782,13.0,33.0
783,19.0,55.0
784,45.0,108.0
785,14.0,35.0
786,13.0,33.0
787,13.0,35.0
788,22.0,79.0
789,30.0,49.0
790,43.0,90.0
791,12.0,25.0
792,10.0,42.0
793,8.0,40.0
794,34.0,60.0
795,27.0,55.0
796,68.0,129.0
797,71.0,185.0
798,91.0,207.0
799,70.0,156.0
800,32.0,48.0
801,20.0,42.0
802,63.0,153.0
803,95.0,240.0
804,104.0,223.0
805,132.0,220.0
806,96.0,230.0
807,94.0,214.0
808,40.0,111.0
809,17.0,52.0
810,16.0,41.0
811,34.0,87.0
812,56.0,153.0
813,68.0,191.0
814,65.0,175.0
815,15.0,44.0
816,25.0,76.0
817,80.0,149.0
818,22.0,41.0
819,9.0,31.0
820,13.0,36.0
821,16.0,25.0
822,45.0,77.0
823,78.0,140.0
824,82.0,162.0
825,73.0,161.0
826,28.0,45.0
827,18.0,45.0
828,21.0,41.0
829,40.0,88.0
830,16.0,28.0
831,52.0,117.0
832,40.0,75.0
833,28.0,70.0
834,31.0,83.0
835,101.0,201.0
836,92.0,193.0
837,48.0,105.0
838,12.0,55.0
839,23.0,52.0
840,23.0,41.0
841,42.0,85.0
842,13.0,31.0
843,14.0,42.0
844,8.0,41.0
845,30.0,65.0
846,17.0,31.0
847,63.0,124.0
848,21.0,39.0
849,20.0,35.0
850,8.0,39.0
851,52.0,130.0
852,65.0,138.0
853,64.0,129.0
854,36.0,99.0
855,15.0,39.0
856,12.0,30.0
857,8.0,34.0
858,22.0,76.0
859,54.0,94.0
860,9.0,30.0
861,14.0,35.0
862,15.0,39.0
863,21.0,41.0
864,43.0,109.0
865,61.0,120.0
866,62.0,109.0
867,18.0,19.0
868,34.0,58.0
