,hospital-er-wait-minutes-columbus_midtown_peds,hospital-er-wait-minutes-columbus_midtown,hospital-er-wait-minutes-columbus_northside
951,15.0,58.0,19.0
952,15.0,30.0,27.0
953,15.0,30.0,27.0
954,11.0,35.0,37.0
955,11.0,35.0,37.0
956,8.0,35.0,30.0
957,8.0,35.0,30.0
958,9.0,40.0,12.0
959,9.0,40.0,12.0
960,10.0,57.0,3.0
961,10.0,57.0,3.0
962,11.0,67.0,6.0
963,11.0,67.0,6.0
964,13.0,86.0,9.0
965,13.0,86.0,9.0
966,17.0,89.0,13.0
967,17.0,89.0,13.0
968,18.0,108.0,28.0
969,18.0,108.0,28.0
970,15.0,105.0,52.0
971,15.0,105.0,52.0
972,11.0,94.0,63.0
973,11.0,94.0,63.0
974,19.0,106.0,48.0
975,19.0,106.0,48.0
976,32.0,116.0,39.0
977,32.0,116.0,39.0
978,36.0,100.0,48.0
979,36.0,100.0,48.0
980,29.0,95.0,42.0
