,electricity-load-nyiso-west,electricity-load-nyiso-centrl,electricity-load-nyiso-hud_valley,electricity-load-nyiso-mhk_valley,electricity-load-nyiso-north,electricity-load-nyiso-longil,electricity-load-nyiso-overall,electricity-load-nyiso-capitl,electricity-load-nyiso-dunwod,electricity-load-nyiso-millwd,electricity-load-nyiso-nyc,electricity-load-nyiso-genese
759,1401.6058,1403.3271,739.9353,604.358,536.0953,1642.665,13189.397200000001,1055.5413,493.773,207.3382,4186.624,918.1342
760,1396.15,1408.8613,735.1118,618.6493,533.2542,1638.3845,13187.4435,1054.2455,483.8928,216.639,4197.328,904.9271
761,1395.4153,1396.0674,740.3728,606.4059,539.6669,1632.7375,13175.2088,1061.8984,478.7363,211.5391,4204.798,907.5712
762,1372.1217,1394.6907,709.3499,606.5508,529.707,1647.7074,13106.7427,1055.4564,478.1366,211.9541,4193.2495,907.8186
763,1384.6438,1393.8442,691.8994,608.1267,543.7744,1632.6652,13145.606899999999,1061.9496,471.3386,254.3449,4197.4517,905.5684
764,1370.7562,1399.0232,712.5369,605.9031,533.8413,1626.4915,13082.2186,1053.4377,464.9403,237.3497,4179.5234,898.4153
765,1380.9835,1354.4531,729.4648,604.8058,532.7091,1607.3342,13025.039200000001,1055.3411,456.1152,239.1719,4166.9717,897.6888
766,1369.919,1338.1665,703.9752,604.0744,541.4878,1609.7239,12992.663400000001,1054.9686,473.0006,233.1779,4167.5283,896.6412
767,1371.2864,1382.3972,719.5707,609.6489,529.7847,1608.9663,12997.1937,1050.5616,468.9031,232.1573,4133.0137,890.9038
768,1384.1179,1376.3359,715.7754,608.5704,531.7418,1608.7756,13001.7568,1043.8387,458.7417,234.7493,4146.767,892.3431
769,1386.4929,1392.1135,717.2927,595.069,532.0681,1602.0662,13008.020599999998,1050.4778,466.1719,250.2703,4125.7417,890.2565
770,1382.3627,1342.6467,668.5442,603.9756,547.6816,1599.5356,12900.2618,1034.4432,462.9735,251.706,4117.456,888.9367
771,1379.5074,1392.0868,707.9128,601.3037,526.1757,1594.0581,12966.6104,1043.6792,459.0316,261.2372,4114.5127,887.1052
772,1391.614,1367.3431,711.3899,607.8021,537.6292,1593.9653,12929.9512,1030.2299,448.4445,241.4129,4109.0674,891.0529
773,1362.0406,1374.0553,722.0221,600.5391,530.0668,1591.6086,12902.908300000001,1025.877,449.2621,238.9914,4114.949,893.4963
774,1362.0406,1374.0553,722.0221,600.5391,530.0668,1591.6086,12902.908300000001,1025.877,449.2621,238.9914,4114.949,893.4963
775,1380.1661,1332.4901,721.2872,603.9032,536.2717,1586.8767,12858.491999999998,1031.2565,459.9687,218.7154,4105.5654,881.991
776,1382.4387,1347.296,731.817,591.3186,539.4387,1576.3904,12880.438300000002,1027.222,458.2808,235.064,4106.162,885.0101
777,1376.8829,1364.9896,713.0802,602.7493,542.6655,1587.0549,12853.818800000001,1023.1166,461.4014,199.6889,4101.1577,881.0318
778,1380.0144,1359.7399,708.3854,608.1737,532.6146,1593.1399,12864.371200000001,1030.1421,468.6285,204.3377,4101.391,877.804
779,1359.3722,1395.1754,726.9274,598.3176,527.1085,1588.7455,12869.965900000001,1029.5079,466.5552,207.0725,4095.3523,875.8314
780,1362.6316,1370.8722,702.4216,597.6449,542.8882,1595.594,12846.6488,1027.7185,460.7807,204.0487,4104.4253,877.6231
781,1370.861,1387.5858,710.0293,597.3299,537.5494,1596.0349,12867.2427,1038.4275,455.0465,200.8814,4094.709,878.788
782,1374.6864,1394.5007,729.9575,611.8319,525.2729,1602.6782,12900.2893,1031.6559,473.5515,179.5715,4097.7705,878.8123
783,1363.7704,1395.7867,707.2419,592.2992,534.6202,1580.6837,12859.9957,1046.4613,474.8748,201.7609,4083.6636,878.833
784,1370.8595,1394.7048,731.6086,599.3287,524.7207,1593.3104,12885.7998,1025.5566,474.1168,191.8926,4103.2485,876.4526
785,1376.9567,1349.4666,726.5403,604.837,534.7515,1613.1785,12892.3745,1041.706,476.4248,177.7422,4111.602,879.1689
786,1371.442,1336.4934,730.8127,614.0497,527.0902,1604.1338,12875.5098,1035.1849,482.2163,186.2234,4105.3027,882.5607
787,1378.7435,1377.2362,741.5047,596.2061,536.0254,1617.241,12965.181100000002,1050.4115,480.9135,183.1598,4126.37,877.3694
788,1385.144,1389.8229,727.1996,611.198,537.3666,1623.0015,12995.2217,1059.6815,473.7825,188.782,4108.7793,890.4638
789,1378.6371,1383.8102,729.1859,606.3887,535.3634,1614.8362,12953.2364,1046.7627,477.4376,189.1344,4106.367,885.3132
790,1377.085,1398.4165,713.8744,605.6331,541.5885,1617.5199,12995.285899999999,1051.1008,481.0853,190.3381,4133.361,885.2833
791,1396.2682,1386.373,728.7902,615.8403,541.4992,1618.5249,13029.677200000002,1050.8073,475.0591,184.5937,4140.873,891.0483
792,1386.7828,1420.0154,732.4764,619.7855,539.426,1619.4467,13088.926899999999,1063.114,480.6855,194.7179,4140.275,892.2017
793,1379.968,1402.2109,728.9352,630.3297,532.9818,1621.8562,13078.7076,1063.2523,480.8756,201.724,4148.794,887.7799
794,1380.5544,1432.7578,739.2898,622.509,547.6691,1631.9663,13134.6914,1060.4791,478.7607,183.6914,4159.207,897.8068
795,1396.7762,1390.8936,743.7134,624.1862,548.0575,1637.1436,13145.3271,1065.0706,478.8749,199.1575,4155.2104,906.2432
796,1400.9646,1432.1982,764.2583,622.2669,549.9476,1642.1497,13238.114599999999,1074.6464,477.0182,199.8635,4172.7715,902.0297
797,1402.7134,1441.5099,762.1122,626.7009,567.9639,1669.7849,13366.567000000001,1084.1191,483.9502,200.1878,4211.441,916.0837
798,1419.9089,1404.707,756.8495,632.7011,556.6768,1672.4957,13372.7299,1090.2109,483.8618,194.3429,4243.42,917.5553
799,1399.981,1437.3793,785.3215,645.7891,540.7935,1697.147,13453.1031,1079.0077,482.2651,197.7992,4271.1533,916.4664
800,1418.6887,1451.3649,772.4957,650.7416,550.7073,1702.0708,13535.7762,1100.665,496.2889,195.3776,4272.092,925.2837
801,1400.551,1461.2693,773.3579,655.5214,545.5564,1690.8601,13572.377599999998,1103.5311,500.9418,195.6161,4316.51,928.6625
802,1424.6786,1459.378,788.8123,650.796,550.3381,1697.5615,13594.6431,1103.2253,487.0027,194.396,4300.2026,938.252
803,1442.9213,1460.2535,791.991,662.9474,561.6065,1711.9226,13760.300500000001,1113.2606,503.0082,202.0125,4368.8203,941.5566
804,1418.18,1490.512,787.213,660.9446,555.6245,1731.94,13808.3812,1120.0996,499.4778,205.6304,4391.7437,947.0156
805,1437.1831,1499.0133,804.6725,669.308,561.4229,1730.6338,13884.9435,1144.099,497.6303,198.3577,4390.018,952.6049
806,1443.4637,1509.0985,785.476,685.4796,559.3566,1738.0454,13983.9748,1132.1635,501.9331,214.7266,4453.3076,960.9242
807,1441.3842,1521.191,800.7831,684.4566,564.4434,1757.4338,14090.7909,1155.6637,515.2221,210.4168,4480.964,958.8322
808,1444.4806,1490.552,812.2369,702.9722,558.3714,1777.5718,14174.713000000002,1152.7065,520.7366,218.0775,4525.131,971.8765
809,1471.2529,1510.7689,838.978,701.2813,590.2522,1815.6523,14429.146,1153.5929,528.7115,227.7114,4607.283,983.6616
810,1487.7156,1530.3037,859.3504,729.5515,561.5271,1826.737,14548.312899999999,1178.2417,520.0663,228.0605,4634.186,992.5731
811,1509.9955,1589.9902,838.265,735.6564,583.5371,1840.6279,14780.164399999998,1190.2643,542.9152,236.4224,4707.757,1004.7334
812,1518.5582,1608.8491,854.1096,744.0811,586.1823,1848.1334,14884.9438,1201.3154,545.7846,225.4533,4739.668,1012.8088
813,1549.0248,1619.1288,853.9213,751.7731,580.8405,1867.967,15033.0496,1213.1184,553.3971,237.7528,4779.816,1026.3098
814,1566.3893,1637.0658,863.0191,753.3419,579.7799,1873.582,15158.809000000001,1208.4994,560.6195,261.5182,4828.9727,1026.0212
815,1587.893,1652.8547,878.4042,758.2889,589.0665,1905.1248,15308.073900000001,1230.5559,560.3578,235.5155,4880.609,1029.4036
816,1599.8557,1664.0662,907.7619,775.6832,585.4916,1895.8829,15412.3928,1236.4337,540.5095,242.8276,4922.979,1040.9015
817,1593.72,1671.9369,893.6973,778.2908,587.8939,1921.2185,15533.234699999999,1252.8904,557.8241,248.9144,4977.4053,1049.4431
818,1607.0339,1683.403,889.4755,768.0369,601.8232,1934.677,15595.9491,1248.8914,563.8646,260.7793,4982.1533,1055.811
819,1601.9175,1695.3859,871.2864,791.0758,583.4847,1929.5134,15627.902599999998,1258.8423,565.2439,259.0808,5009.073,1062.9989
820,1619.2732,1655.6781,896.15,790.9485,582.0957,1936.9209,15670.853599999997,1254.1793,556.3035,265.4322,5048.157,1065.7152
821,1639.6011,1678.2363,927.3599,784.8959,596.8989,1956.1248,15829.167099999999,1274.9944,585.9844,264.2989,5038.6167,1082.1558
822,1638.6372,1701.0681,917.11,810.3915,583.8538,1967.31,15931.605399999999,1272.9661,588.1107,270.1974,5101.173,1080.7876
823,1619.824,1726.1039,903.1,794.6962,594.3862,1980.1041,16085.45,1283.3806,587.5102,279.7655,5230.4937,1086.0856
824,1644.8022,1751.673,926.3659,801.3178,595.6472,1974.4644,16197.0293,1295.3438,602.5682,278.5574,5230.8203,1095.4691
825,1634.1674,1702.5173,913.2219,793.6531,591.9686,1986.0565,16131.9369,1287.8005,576.7101,280.4265,5274.757,1090.658
826,1647.4099,1750.0587,921.2813,796.8951,598.7026,1994.1501,16242.1534,1283.7618,587.4226,294.8856,5277.4033,1090.1824
827,1658.9293,1753.4537,926.0456,806.7086,597.9869,1981.9717,16293.591100000001,1283.0408,586.0502,286.874,5317.1133,1095.417
828,1661.876,1767.6998,929.7036,805.0627,594.1403,1998.6578,16324.4571,1272.4084,582.5606,285.0422,5333.8228,1093.4829
829,1659.1941,1774.2611,934.0983,801.7174,598.5916,1987.8403,16381.0776,1282.4719,597.1868,285.8773,5359.5986,1100.2402
830,1640.7582,1725.0623,937.1194,801.6215,589.8536,1981.9639,16331.760900000001,1279.8818,595.6249,298.6652,5381.1924,1100.0177
831,1645.1227,1752.6033,945.6434,794.8515,589.8868,1978.5266,16402.554,1294.9956,599.3993,272.1142,5420.3057,1109.1049
832,1667.2626,1752.1378,926.7565,799.6721,595.8451,1994.6846,16488.699200000003,1294.7852,610.4847,278.4188,5462.0015,1106.6503
833,1664.1757,1723.2174,971.641,801.5333,584.6304,2011.0161,16555.779000000002,1294.7267,626.5287,286.5599,5483.1475,1108.6023
834,1685.1799,1750.5543,961.2659,796.1025,593.6428,2048.2744,16679.120600000002,1299.5302,622.9172,295.0074,5506.5454,1120.1006
835,1678.1959,1764.6533,958.229,814.8141,589.4956,2046.897,16745.329100000003,1318.0354,595.4498,297.9999,5571.3247,1110.2344
836,1696.4386,1740.0159,952.0403,802.4637,593.9022,2056.5947,16763.075800000002,1310.4324,622.6854,299.9297,5571.958,1116.6149
837,1696.8069,1753.9777,975.1953,799.2249,589.5212,2054.834,16801.9024,1305.4711,606.0607,291.8816,5612.1846,1116.7444
838,1709.7467,1754.0725,975.1914,796.4403,593.2841,2043.8353,16814.431800000002,1310.5079,626.0408,303.242,5592.1445,1109.9263
839,1700.4615,1751.4548,963.3706,794.1792,599.6754,2077.626,16880.8201,1309.0763,614.872,300.3922,5648.7974,1120.9147
840,1684.6501,1734.7119,957.8087,789.9226,591.1572,2080.7065,16843.6133,1311.7897,645.0061,305.9233,5627.661,1114.2762
841,1714.9697,1686.0144,942.2085,795.1591,596.1484,2082.8904,16853.7852,1304.6699,616.5099,301.4779,5698.0596,1115.6774
842,1716.8784,1734.7864,960.4312,781.9465,597.7059,2098.227,16916.0129,1289.0621,628.6121,303.5519,5685.3076,1119.5038
843,1703.3691,1743.8551,959.0942,782.1216,583.8929,2093.78,16904.128800000002,1293.013,631.384,305.9151,5695.4233,1112.2805
844,1712.3301,1748.5352,928.2668,772.3232,596.6146,2101.6619,16943.114700000002,1299.8247,633.1296,284.5853,5755.964,1109.8793
845,1718.8712,1695.9034,943.6898,781.1003,590.8906,2086.3286,16891.1162,1284.2318,635.8763,299.4313,5739.252,1115.5409
846,1739.1982,1709.262,935.0913,766.924,584.2923,2113.7695,16930.1256,1293.1184,634.3475,306.1597,5734.9736,1112.9891
847,1711.0552,1727.3419,921.9791,762.3208,586.0397,2115.4023,16963.492599999998,1309.0809,638.8965,308.4155,5771.5703,1111.3904
