,electricity-load-nyiso-dunwod,electricity-load-nyiso-hud_valley,electricity-load-nyiso-west,electricity-load-nyiso-millwd,electricity-load-nyiso-centrl,electricity-load-nyiso-nyc,electricity-load-nyiso-north,electricity-load-nyiso-overall,electricity-load-nyiso-genese,electricity-load-nyiso-longil,electricity-load-nyiso-mhk_valley,electricity-load-nyiso-capitl
91,763.8102,1416.4836,1734.7405,429.4454,2264.2747,6444.935,823.22,20854.026100000003,1281.6108,2784.4526,1153.3707,1757.6826
92,771.3901,1420.6287,1739.2532,436.7226,2306.6943,6432.0635,832.4678,20938.453799999996,1296.6267,2782.987,1155.3092,1764.3107
93,767.5812,1388.9775,1739.0381,466.0308,2325.1985,6457.4873,828.7929,20972.5188,1295.1442,2784.7603,1162.1885,1757.3195
94,775.0206,1414.6719,1759.958,465.3799,2352.986,6457.6523,821.7014,21093.674300000002,1297.4431,2793.1123,1185.1255,1770.6233
95,775.0206,1414.6719,1759.958,465.3799,2352.986,6457.6523,821.7014,21093.674300000002,1297.4431,2793.1123,1185.1255,1770.6233
96,758.8843,1388.2068,1744.658,471.3677,2374.5208,6451.4653,830.481,21112.843100000002,1308.5826,2808.064,1203.3201,1773.2925
97,772.9534,1400.5659,1777.2301,469.9577,2326.9937,6455.1533,828.2552,21170.109900000003,1312.0579,2825.3738,1207.1731,1794.3958
98,775.3171,1421.2249,1776.1238,458.0089,2358.776,6453.576,838.1748,21212.3627,1310.424,2830.2417,1195.685,1794.8105
99,765.748,1419.5295,1775.1877,455.5283,2347.6174,6517.257,834.7108,21286.5618,1322.6005,2836.3962,1209.439,1802.5474
100,765.748,1419.5295,1775.1877,455.5283,2347.6174,6517.257,834.7108,21286.5618,1322.6005,2836.3962,1209.439,1802.5474
101,776.1022,1433.2797,1773.57,458.1217,2385.229,6536.804,842.3028,21426.160700000004,1337.514,2862.792,1212.8137,1807.6316
102,782.8146,1422.1692,1802.3933,457.6032,2385.2761,6495.544,833.1362,21493.9756,1345.5435,2890.767,1220.9607,1857.7678
103,787.8292,1439.3237,1826.08,470.4124,2325.5396,6531.6084,802.7701,21496.2431,1347.0657,2901.7524,1233.468,1830.3936
104,795.9346,1443.838,1803.2344,495.3268,2371.5164,6552.401,827.2912,21619.2566,1352.2748,2919.0508,1219.3486,1839.04
105,792.0406,1474.3912,1807.5499,489.3468,2415.2222,6555.5947,828.2554,21726.0329,1356.2119,2943.1943,1226.2996,1837.9263
