,hospital-er-wait-minutes-piedmont_walton,hospital-er-wait-minutes-piedmont_mountainside,hospital-er-wait-minutes-piedmont_atlanta,hospital-er-wait-minutes-piedmont_newton,hospital-er-wait-minutes-piedmont_rockdale,hospital-er-wait-minutes-piedmont_fayette,hospital-er-wait-minutes-piedmont_henry,hospital-er-wait-minutes-piedmont_athens,hospital-er-wait-minutes-piedmont_newnan,hospital-er-wait-minutes-piedmont_mountside_ellijay
196,4.0,23.0,33.0,62.0,60.0,54.0,75.0,10.0,14.0,19.0
197,4.0,23.0,33.0,62.0,60.0,54.0,75.0,10.0,14.0,19.0
198,5.0,59.0,31.0,70.0,61.0,64.0,88.0,10.0,23.0,8.0
199,5.0,59.0,31.0,70.0,61.0,64.0,88.0,10.0,23.0,8.0
200,5.0,57.0,19.0,69.0,84.0,71.0,94.0,8.0,26.0,0.0
201,5.0,57.0,19.0,69.0,84.0,71.0,94.0,8.0,26.0,0.0
202,3.0,54.0,15.0,65.0,69.0,82.0,81.0,9.0,33.0,7.0
203,3.0,54.0,15.0,65.0,69.0,82.0,81.0,9.0,33.0,7.0
204,2.0,45.0,17.0,83.0,38.0,89.0,76.0,15.0,46.0,10.0
205,2.0,45.0,17.0,83.0,38.0,89.0,76.0,15.0,46.0,10.0
206,4.0,20.0,20.0,79.0,32.0,80.0,64.0,24.0,44.0,16.0
207,4.0,20.0,20.0,79.0,32.0,80.0,64.0,24.0,44.0,16.0
208,4.0,33.0,25.0,114.0,29.0,61.0,67.0,25.0,48.0,20.0
209,4.0,33.0,25.0,114.0,29.0,61.0,67.0,25.0,48.0,20.0
210,6.0,28.0,37.0,143.0,35.0,67.0,72.0,29.0,40.0,26.0
211,6.0,28.0,37.0,143.0,35.0,67.0,72.0,29.0,40.0,26.0
212,5.0,37.0,55.0,90.0,38.0,74.0,50.0,38.0,39.0,26.0
213,5.0,37.0,55.0,90.0,38.0,74.0,50.0,38.0,39.0,26.0
214,4.0,52.0,53.0,107.0,53.0,82.0,33.0,52.0,42.0,0.0
215,4.0,52.0,53.0,107.0,53.0,82.0,33.0,52.0,42.0,0.0
216,5.0,57.0,47.0,106.0,59.0,103.0,37.0,45.0,46.0,0.0
217,5.0,57.0,47.0,106.0,59.0,103.0,37.0,45.0,46.0,0.0
218,4.0,148.0,55.0,106.0,81.0,114.0,27.0,44.0,52.0,9.0
219,4.0,148.0,55.0,106.0,81.0,114.0,27.0,44.0,52.0,9.0
220,2.0,127.0,81.0,129.0,82.0,132.0,34.0,52.0,56.0,25.0
221,2.0,127.0,81.0,129.0,82.0,132.0,34.0,52.0,56.0,25.0
222,3.0,76.0,80.0,121.0,97.0,134.0,37.0,47.0,55.0,11.0
223,3.0,76.0,80.0,121.0,97.0,134.0,37.0,47.0,55.0,11.0
224,4.0,40.0,61.0,96.0,132.0,130.0,38.0,49.0,63.0,4.0
225,4.0,40.0,61.0,96.0,132.0,130.0,38.0,49.0,63.0,4.0
226,3.0,13.0,53.0,99.0,140.0,143.0,35.0,59.0,65.0,0.0
227,3.0,13.0,53.0,99.0,140.0,143.0,35.0,59.0,65.0,0.0
228,2.0,19.0,49.0,128.0,127.0,176.0,38.0,63.0,70.0,0.0
229,2.0,19.0,49.0,128.0,127.0,176.0,38.0,63.0,70.0,0.0
230,2.0,34.0,48.0,156.0,148.0,200.0,37.0,63.0,76.0,7.0
231,2.0,34.0,48.0,156.0,148.0,200.0,37.0,63.0,76.0,7.0
232,3.0,28.0,71.0,209.0,199.0,222.0,29.0,58.0,105.0,9.0
233,3.0,28.0,71.0,209.0,199.0,222.0,29.0,58.0,105.0,9.0
234,4.0,13.0,87.0,129.0,184.0,209.0,26.0,60.0,105.0,5.0
235,4.0,13.0,87.0,129.0,184.0,209.0,26.0,60.0,105.0,5.0
236,6.0,16.0,104.0,150.0,227.0,224.0,44.0,51.0,97.0,2.0
237,6.0,16.0,104.0,150.0,227.0,224.0,44.0,51.0,97.0,2.0
238,6.0,34.0,85.0,208.0,275.0,229.0,67.0,29.0,120.0,9.0
239,6.0,34.0,85.0,208.0,275.0,229.0,67.0,29.0,120.0,9.0
240,2.0,43.0,125.0,167.0,291.0,225.0,82.0,30.0,85.0,11.0
241,2.0,43.0,125.0,167.0,291.0,225.0,82.0,30.0,85.0,11.0
242,2.0,15.0,126.0,45.0,284.0,192.0,99.0,35.0,146.0,11.0
243,2.0,15.0,126.0,45.0,284.0,192.0,99.0,35.0,146.0,11.0
244,2.0,15.0,126.0,45.0,284.0,192.0,99.0,35.0,146.0,11.0
245,5.0,15.0,207.0,42.0,350.0,156.0,131.0,35.0,189.0,0.0
246,5.0,3.0,181.0,58.0,337.0,171.0,191.0,41.0,143.0,9.0
247,5.0,3.0,181.0,58.0,337.0,171.0,191.0,41.0,143.0,9.0
248,7.0,7.0,234.0,50.0,250.0,125.0,216.0,55.0,109.0,14.0
249,7.0,7.0,234.0,50.0,250.0,125.0,216.0,55.0,109.0,14.0
250,3.0,7.0,438.0,50.0,226.0,133.0,191.0,70.0,96.0,14.0
251,3.0,7.0,438.0,50.0,226.0,133.0,191.0,70.0,96.0,14.0
252,0.0,7.0,453.0,60.0,98.0,120.0,179.0,92.0,81.0,0.0
253,0.0,7.0,453.0,60.0,98.0,120.0,179.0,92.0,81.0,0.0
254,0.0,0.0,278.0,72.0,142.0,121.0,143.0,113.0,90.0,8.0
255,0.0,0.0,278.0,72.0,142.0,121.0,143.0,113.0,90.0,8.0
256,1.0,0.0,216.0,72.0,136.0,156.0,75.0,60.0,105.0,8.0
257,1.0,0.0,216.0,72.0,136.0,156.0,75.0,60.0,105.0,8.0
258,4.0,0.0,224.0,22.0,444.0,141.0,73.0,29.0,103.0,0.0
259,4.0,0.0,224.0,22.0,444.0,141.0,73.0,29.0,103.0,0.0
260,6.0,1.0,189.0,53.0,444.0,126.0,83.0,21.0,87.0,0.0
261,6.0,1.0,189.0,53.0,444.0,126.0,83.0,21.0,87.0,0.0
262,3.0,9.0,25.0,59.0,139.0,109.0,122.0,14.0,0.0,0.0
263,3.0,9.0,25.0,59.0,139.0,109.0,122.0,14.0,0.0,0.0
264,3.0,9.0,72.0,66.0,129.0,120.0,145.0,15.0,0.0,0.0
265,3.0,9.0,72.0,66.0,129.0,120.0,145.0,15.0,0.0,0.0
