,pandemic_susceptible,pandemic_recovered,pandemic_infected
331,0.56615125,0.41132125,0.0019199999999999998
332,0.56588125,0.41246125,0.0018149999999999998
333,0.56565,0.41349375,0.00164125
334,0.5654725,0.41447625,0.00151
335,0.56531625,0.41540875,0.00134875
336,0.5651625,0.41623125,0.001265
337,0.56503625,0.41707625,0.00114875
338,0.5649,0.41784375,0.0010400000000000001
339,0.56475625,0.41855,0.0009925000000000001
340,0.56465625,0.41921625,0.00092125
341,0.56457375,0.4198825,0.0008225
342,0.5644825,0.42049875,0.00075375
343,0.56439875,0.42108500000000004,0.00067375
344,0.5643225000000001,0.42157375,0.00064375
345,0.56424625,0.42203875,0.0006075
346,0.564175,0.422505,0.0005825
347,0.5640925,0.42292749999999996,0.0005675
348,0.5640925,0.42292749999999996,0.0005675
349,0.56403,0.42333875,0.000525
350,0.5639675000000001,0.42373875,0.00047999999999999996
351,0.56390125,0.424095,0.00045
352,0.56383375,0.42447250000000003,0.00043125
353,0.5637725,0.42479875,0.00042249999999999997
354,0.56372375,0.42512875,0.00039
355,0.563655,0.42545125,0.000375
356,0.5636175,0.42574750000000006,0.00034125
357,0.56357125,0.42603125,0.00031625
358,0.5635375,0.4262775,0.0003025
359,0.56350375,0.426545,0.00028375
360,0.56346625,0.42677625,0.0002525
361,0.56344125,0.42699375,0.00023500000000000002
362,0.563405,0.42717375,0.00023625
363,0.56338375,0.42736,0.00020625
364,0.56335875,0.42753,0.00019375
365,0.56333625,0.42770875,0.0001625
366,0.56331625,0.42783875,0.000155
367,0.5632975,0.4279675,0.00014375
368,0.5632825,0.42809125,0.00013375
369,0.56326875,0.42823375,0.00011625
370,0.56324875,0.42835249999999997,0.00011499999999999999
371,0.5632375,0.42846999999999996,9.375e-05
372,0.5632275,0.42858,8.499999999999999e-05
373,0.56321,0.42867375,8.875e-05
374,0.56319125,0.42878249999999996,9.25e-05
375,0.5631775,0.42887375,8.25e-05
376,0.56316125,0.42893625,8.875e-05
377,0.56314625,0.42902625,9.25e-05
378,0.5631375,0.42909125,8.875e-05
379,0.5631225000000001,0.429145,8.75e-05
380,0.56311375,0.4292025,8.125e-05
381,0.56310375,0.42927250000000006,7.25e-05
382,0.5630925,0.42933625,6.125e-05
383,0.5630824999999999,0.42939125,5.7499999999999995e-05
384,0.563075,0.42944750000000004,4.7499999999999996e-05
385,0.5630725000000001,0.42948000000000003,4.2499999999999996e-05
386,0.56306625,0.42951875,4e-05
387,0.56306125,0.42956000000000005,4e-05
388,0.56305125,0.42961000000000005,4.125e-05
389,0.56304625,0.4296475,3.5e-05
390,0.5630425,0.42968,2.9999999999999997e-05
391,0.56304,0.42970749999999996,2.75e-05
392,0.56303875,0.4297525,2.625e-05
393,0.56303625,0.42977375,2.625e-05
394,0.56303125,0.42979875,2.25e-05
395,0.56303,0.42982250000000005,2.125e-05
396,0.56302875,0.42984750000000005,1.875e-05
397,0.563025,0.42987375,1.875e-05
398,0.56302,0.42988625,2.25e-05
399,0.56301625,0.42991125,2.125e-05
400,0.56301375,0.42993375,2.125e-05
401,0.56301,0.42995125,2.25e-05
402,0.56300625,0.42996375,2.25e-05
403,0.56300625,0.42997125,2e-05
404,0.56300375,0.42998625,2e-05
405,0.5630025,0.42999875,1.75e-05
406,0.5630025,0.43001125,1.625e-05
407,0.56300125,0.43002749999999995,1.375e-05
408,0.5629975,0.43003625,1.75e-05
409,0.56299625,0.43004625,1.75e-05
410,0.562995,0.43006000000000005,1.75e-05
411,0.56299125,0.43007125,1.75e-05
412,0.56299,0.43008125,1.625e-05
413,0.56298875,0.43009,1.4999999999999999e-05
414,0.5629875,0.430095,1.375e-05
415,0.5629875,0.43010625,1.125e-05
416,0.5629875,0.43011375,8.75e-06
417,0.5629875,0.43012625,6.25e-06
418,0.5629875,0.4301325,6.25e-06
419,0.5629850000000001,0.43013999999999997,8.75e-06
420,0.56298375,0.430145,8.75e-06
421,0.56298375,0.43015249999999994,5e-06
422,0.56298375,0.43015625,3.75e-06
423,0.56298375,0.4301625,3.75e-06
424,0.56298375,0.43016499999999996,3.75e-06
425,0.56298375,0.43016875,2.5e-06
426,0.56298375,0.43017125,2.5e-06
427,0.56298375,0.43018,2.5e-06
428,0.56298375,0.43018500000000004,2.5e-06
429,0.56298375,0.43018625,1.25e-06
430,0.56298375,0.4301975,1.25e-06
431,0.56298375,0.4302,1.25e-06
432,0.56298375,0.43020375,1.25e-06
433,0.5629824999999999,0.43020875,2.5e-06
434,0.56298125,0.43021000000000004,3.75e-06
435,0.56298125,0.43021000000000004,3.75e-06
436,0.56298125,0.43021125,3.75e-06
437,0.56298125,0.43021625,3.75e-06
438,0.56298125,0.43021875,2.5e-06
439,0.56298125,0.43022250000000006,1.25e-06
440,0.99936875,0.0,0.00062625
441,0.9991700000000001,4.375e-05,0.00069625
442,0.99881125,0.00011,0.00089875
443,0.99813625,0.000205,0.001325
444,0.99655,0.000365,0.00254875
445,0.99299625,0.00072125,0.0053125
446,0.98632375,0.00137125,0.0104175
447,0.97451375,0.00260625,0.01925375
448,0.95783875,0.00469,0.03085875
449,0.93844875,0.00780625,0.0429075
450,0.9170125,0.012265,0.054520000000000006
451,0.89512875,0.01780375,0.06451375
452,0.87339625,0.0244775,0.072415
453,0.8523924999999999,0.032139999999999995,0.0785975
454,0.83258625,0.04070125,0.0824325
455,0.81379625,0.05006625,0.0847075
456,0.7962375,0.05997875,0.085265
457,0.78029625,0.07019500000000001,0.08426875
458,0.76519625,0.08077625,0.0826
459,0.75164125,0.09159375,0.0801625
460,0.73911,0.10249875,0.07700499999999999
461,0.7275625,0.11345875,0.07362
462,0.71677375,0.12449125,0.07012625
463,0.70681875,0.135485,0.0667125
464,0.69771875,0.14660499999999999,0.06299875
465,0.68923875,0.1572575,0.05941375
466,0.68136125,0.167745,0.05593625
467,0.67401875,0.17815875,0.05246875
468,0.6670925,0.18810875,0.04936875
469,0.66086125,0.19785625,0.04637875
470,0.6550675,0.2072025,0.0434225
471,0.64948375,0.21645,0.040775
472,0.64462125,0.22544125,0.038
473,0.6399375,0.23420125,0.03528375
474,0.63564,0.2427275,0.0328875
475,0.63172125,0.25083,0.03046
476,0.6279725,0.2586675,0.02831125
477,0.6246275,0.26595375,0.026310000000000004
478,0.6214649999999999,0.27324,0.0244325
479,0.61859375,0.280175,0.02268625
480,0.61592625,0.286675,0.02107
481,0.61342,0.29298625,0.01956375
482,0.6109425,0.29900625,0.0183
483,0.60881375,0.30472875,0.016942500000000003
484,0.6068725,0.3103375,0.0156025
485,0.605125,0.3156875,0.0142975
486,0.60341125,0.3208225,0.01326125
487,0.6017725,0.32564875,0.01234375
488,0.6004125,0.330275,0.01135125
489,0.59894625,0.3346575,0.0105425
490,0.5977125,0.33886125,0.00970875
491,0.59652875,0.34263625,0.00906375
492,0.595395,0.34634375,0.00844375
493,0.5943175,0.34987875,0.00782375
494,0.59333125,0.35325500000000004,0.007345
495,0.59246875,0.35649250000000005,0.006852500000000001
496,0.59166625,0.359575,0.00632625
497,0.59091,0.36243875,0.00586375
498,0.59022125,0.36517375,0.00548875
499,0.58954,0.3677125,0.00514625
500,0.58887875,0.37015375,0.00485875
501,0.58828375,0.3724375,0.00451625
502,0.58770625,0.374655,0.00420875
503,0.5871625,0.37668625,0.00398625
504,0.5866425000000001,0.378765,0.00373
505,0.5861175000000001,0.38059375,0.0035675
506,0.5856275,0.38245999999999997,0.00338375
507,0.5851274999999999,0.38424,0.00324
508,0.58394625,0.38887875,0.00270875
509,0.58355875,0.39032875,0.002585
510,0.583225,0.3916875,0.002425
511,0.58289875,0.392955,0.002305
512,0.5825575,0.39407875,0.00225625
513,0.5822350000000001,0.39528375,0.002135
514,0.58194625,0.39636,0.00200125
515,0.5817074999999999,0.3974,0.0018425000000000002
516,0.58146375,0.39837375,0.00172125
517,0.58123375,0.39928125,0.00159625
518,0.5810350000000001,0.40015875,0.0014824999999999999
519,0.5808399999999999,0.40098375,0.001385
520,0.58065625,0.40179499999999996,0.00126625
521,0.5804875,0.40254375,0.00118375
522,0.58033375,0.40327125,0.00113875
523,0.58017625,0.40392125,0.0010925000000000002
524,0.5800274999999999,0.4045125,0.00103125
525,0.5799025,0.40508,0.0009824999999999999
526,0.57976625,0.40563625,0.00093125
527,0.57960625,0.40621125,0.00089875
528,0.57949375,0.40670125,0.0008449999999999999
529,0.57936,0.40718375,0.0008175000000000001
530,0.57924375,0.40761375,0.00075875
531,0.57912375,0.40810625,0.0007275000000000001
532,0.5790175,0.40851,0.00070875
533,0.57892625,0.40894749999999996,0.0006425
534,0.5788300000000001,0.4093075,0.00061875
535,0.5787475000000001,0.4096875,0.00058375
536,0.578665,0.410025,0.00055875
537,0.57859375,0.41036875,0.000525
538,0.5785100000000001,0.41063500000000003,0.00051375
539,0.5784425,0.4108875,0.00049625
540,0.5783725000000001,0.41115875,0.00045
541,0.57833625,0.4113975,0.000395
542,0.5782775,0.4116375,0.00038250000000000003
543,0.5782324999999999,0.41189125,0.0003525
544,0.578175,0.41207875,0.00034625
545,0.57814875,0.412275,0.00031
546,0.578095,0.4124725,0.00030875
547,0.578095,0.4124725,0.00030875
548,0.57804375,0.41266625,0.00029
549,0.57804375,0.41266625,0.00029
550,0.577995,0.412875,0.00028375
551,0.57795625,0.41303249999999997,0.000275
552,0.57792,0.4132075,0.00025625
553,0.5778800000000001,0.41335500000000003,0.00024375
554,0.5778449999999999,0.4135,0.0002275
555,0.577815,0.4136525,0.00021375
556,0.57778375,0.4137625,0.00021
557,0.5777475000000001,0.41389625,0.000215
558,0.5777175,0.41401499999999997,0.00021
559,0.57769875,0.4141275,0.00018625
560,0.57767125,0.4142325,0.00019125
561,0.57763375,0.41431999999999997,0.00019375
562,0.5776074999999999,0.41442125,0.000165
563,0.57758625,0.4145125,0.00016875
564,0.5775600000000001,0.4146025,0.000165
565,0.5775375,0.4146775,0.00015375
566,0.57751375,0.4147575,0.000145
567,0.57748125,0.414835,0.000155
568,0.57746125,0.414905,0.0001425
569,0.57744125,0.41497749999999994,0.000125
570,0.5774175,0.4150375,0.00012375
571,0.5774024999999999,0.41510125,0.00012375
572,0.57738625,0.41515749999999996,0.00011625
573,0.57736875,0.41521625,0.00011125
